,一共游戏场数,10551
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,猛攻哑铃	轻石		力量头带,18,64.29%,6
,,气势头带	力量头带	焦点镜,59,74.68%,5
,,猛攻哑铃	气势头带	力量头带,7,70.0%,4
,,气势头带	力量头带	锐利之爪,4,80.0%,3
,,力量头带	锐利之爪	焦点镜,3,50.0%,3
,,猛攻哑铃	力量头带	焦点镜,5,55.56%,2
,,救援屏障	力量头带	焦点镜,3,75.0%,2
,,救援屏障	猛攻哑铃	力量头带,1,100.0%,1
,,能量增幅器	猛攻哑铃	力量头带,1,50.0%,1
,,猛攻哑铃	力量头带	锐利之爪,1,50.0%,1
,,轻石		力量头带	焦点镜,0,0.0%,1
29,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,28,1.4%,108,72.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ふじい5段,27,72.97%
,,omutero,22,78.57%
,,竜舞ぱらてゃ,20,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		得分加速装置,43,76.79%,4
,,蓄能焰袭	飞翔		逃脱按键,28,73.68%,2
,,逃脱按键,17,68.0%,11
,,攻击强化,6,85.71%,5
,,蓄能焰袭	飞翔		伤药	,5,71.43%,1
,,伤药	,2,100.0%,1
,,得分加速装置,2,66.67%,2
,,速度强化,1,100.0%,1
,,万灵药,1,50.0%,1
,,蓄能焰袭	飞翔		攻击强化,1,50.0%,2
,,燕返		勇鸟猛攻	攻击强化,1,50.0%,2
,,燕返		勇鸟猛攻	逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	猛攻哑铃	锐利之爪,30,75.0%,4
,,猛攻哑铃	气势头带	锐利之爪,2,50.0%,3
,,猛攻哑铃	锐利之爪	焦点镜,4,100.0%,2
,,猛攻哑铃	力量头带	锐利之爪,1,50.0%,2
,,能量增幅器	猛攻哑铃	锐利之爪,1,33.33%,2
,,救援屏障	得分护盾	猛攻哑铃,22,78.57%,1
,,得分护盾	猛攻哑铃	气势头带,20,66.67%,1
,,猛攻哑铃	轻石		气势头带,8,80.0%,1
,,能量增幅器	救援屏障	锐利之爪,3,75.0%,1
,,能量增幅器	得分护盾	猛攻哑铃,3,75.0%,1
,,救援屏障	锐利之爪	焦点镜,1,100.0%,1
,,能量增幅器	力量头带	锐利之爪,1,100.0%,1
,,救援屏障	轻石		锐利之爪,1,100.0%,1
,,学习装置	轻石		气势头带,1,100.0%,1
,,得分护盾	猛攻哑铃	锐利之爪,1,100.0%,1
,,气势头带	锐利之爪	焦点镜,1,50.0%,1
,,猛攻哑铃	轻石		锐利之爪,0,0.0%,1
,,救援屏障	力量头带	锐利之爪,0,0.0%,1
31,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,1.2%,86,67.72%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,F4・Zeke,17,73.91%
,,FlyGuyShyGuy,16,72.73%
,,훈포도,10,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷水		高速旋转	逃脱按键,68,68.0%,26
,,水炮		冲浪		逃脱按键,6,66.67%,6
,,喷水		高速旋转	速度强化,4,66.67%,3
,,水炮		高速旋转	逃脱按键,3,75.0%,3
,,喷水		高速旋转	向尾喵的尾巴,3,50.0%,2
,,水炮		冲浪		伤药	,2,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	进击眼镜	气势头带,12,63.16%,11
,,救援屏障	进击眼镜	气势头带,18,66.67%,6
,,救援屏障	气势头带	力量头带,3,60.0%,2
,,能量增幅器	救援屏障	进击眼镜,2,66.67%,2
,,能量增幅器	进击眼镜	贝壳之铃,17,73.91%,1
,,救援屏障	气势头带	博识眼镜,16,72.73%,1
,,讲究眼镜	气势头带	力量头带,3,100.0%,1
,,能量增幅器	进击眼镜	力量头带,2,66.67%,1
,,进击眼镜	气势头带	博识眼镜,2,50.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,2,50.0%,1
,,讲究眼镜	进击眼镜	气势头带,2,40.0%,1
,,能量增幅器	亿奥斯饼干	进击眼镜,1,100.0%,1
,,能量增幅器	救援屏障	贝壳之铃,1,100.0%,1
,,能量增幅器	救援屏障	气势头带,1,100.0%,1
,,救援屏障	学习装置	气势头带,1,50.0%,1
,,救援屏障	气势头带	弱点保险,1,50.0%,1
32,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,1.18%,85,68.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,神速うてやVT,27,72.97%
,,国民的微笑w,16,69.57%
,,Overseert,10,90.91%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,51,71.83%,9
,,圣剑		广域防守	速度强化,13,86.67%,3
,,圣剑		广域防守	逃脱按键,8,72.73%,7
,,圣剑		广域防守	万灵药,7,43.75%,10
,,圣剑		广域防守	攻击强化,3,60.0%,3
,,暗影爪	铁头		伤药	,2,66.67%,1
,,圣剑		铁头		伤药	,1,100.0%,1
,,暗影爪	广域防守	万灵药,0,0.0%,1
,,暗影爪	广域防守	逃脱按键,0,0.0%,1
,,暗影爪	铁头		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,11,64.71%,8
,,猛攻哑铃	气势头带	弱点保险,13,68.42%,7
,,气势头带	力量头带	锐利之爪,30,73.17%,3
,,气势头带	锐利之爪	弱点保险,2,100.0%,2
,,猛攻哑铃	力量头带	弱点保险,2,33.33%,2
,,能量增幅器	猛攻哑铃	弱点保险,3,100.0%,1
,,救援屏障	气势头带	锐利之爪,2,66.67%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,救援屏障	锐利之爪	弱点保险,1,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
,,猛攻哑铃	锐利之爪	弱点保险,1,100.0%,1
,,救援屏障	气势头带	力量头带,1,100.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,1,50.0%,1
,,救援屏障	力量头带	弱点保险,0,0.0%,1
,,救援屏障	猛攻哑铃	弱点保险,0,0.0%,1
,,亿奥斯饼干	力量头带	焦点镜,0,0.0%,1
33,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,1.11%,87,74.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,dmDash,29,70.73%
,,XIS・Jãdeco,18,85.71%
,,抱え落ち警察,8,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	极光幕	攻击强化,42,87.5%,10
,,雪崩		暴风雪	速度强化,22,78.57%,1
,,魔法闪耀	极光幕	逃脱按键,10,47.62%,8
,,雪崩		暴风雪	逃脱按键,7,77.78%,3
,,魔法闪耀	极光幕	万灵药,3,100.0%,1
,,魔法闪耀	暴风雪	攻击强化,1,100.0%,1
,,雪崩		暴风雪	万灵药,1,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,1,50.0%,2
,,雪崩		暴风雪	攻击强化,0,0.0%,1
,,魔法闪耀	极光幕	速度强化,0,0.0%,1
,,雪崩		极光幕	逃脱按键,0,0.0%,1
,,魔法闪耀	极光幕	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,13,59.09%,8
,,能量增幅器	气势头带	力量头带,22,88.0%,3
,,讲究眼镜	气势头带	博识眼镜,5,71.43%,2
,,讲究眼镜	能量增幅器	博识眼镜,29,70.73%,1
,,能量增幅器	救援屏障	力量头带,8,100.0%,1
,,气势头带	力量头带	贝壳之铃,3,100.0%,1
,,讲究眼镜	气势头带	力量头带,3,75.0%,1
,,气势头带	锐利之爪	焦点镜,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,力量头带	锐利之爪	焦点镜,0,0.0%,1
,,讲究眼镜	救援屏障	进击眼镜,0,0.0%,1
34,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,20,1.0%,79,75.24%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Parasite,39,86.67%
,,ENT・ProD,11,78.57%
,,EMPxSorA右,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	滚动		逃脱按键,40,85.11%,3
,,魔法闪耀	唱歌		逃脱按键,21,63.64%,8
,,魔法闪耀	唱歌		速度强化,12,66.67%,6
,,连环巴掌	唱歌		逃脱按键,2,100.0%,1
,,连环巴掌	唱歌		速度强化,2,66.67%,3
,,魔法闪耀	滚动		向尾喵的尾巴,1,100.0%,1
,,魔法闪耀	滚动		得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	得分护盾	气势头带,17,70.83%,6
,,救援屏障	气势头带	焦点镜,40,86.96%,2
,,讲究眼镜	救援屏障	气势头带,2,100.0%,2
,,救援屏障	亿奥斯饼干	学习装置,6,85.71%,1
,,救援屏障	亿奥斯饼干	气势头带,6,60.0%,1
,,突击背心	救援屏障	气势头带,2,100.0%,1
,,气势头带	锐利之爪	焦点镜,2,66.67%,1
,,亿奥斯饼干	气势头带	力量头带,1,100.0%,1
,,得分护盾	亿奥斯饼干	气势头带,1,100.0%,1
,,救援屏障	气势头带	贝壳之铃,1,50.0%,1
,,能量增幅器	救援屏障	气势头带,0,0.0%,1
,,能量增幅器	救援屏障	贝壳之铃,0,0.0%,1
35,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.72%,59,77.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,5i・Inferno,21,80.77%
,,ttvSixsies,9,90.0%
,,croagunk,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	幻象光线	速度强化,23,74.19%,10
,,精神冲击	幻象光线	逃脱按键,19,90.48%,7
,,精神冲击	预知未来	逃脱按键,13,68.42%,4
,,精神冲击	预知未来	速度强化,4,80.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,26,81.25%,7
,,讲究眼镜	救援屏障	博识眼镜,6,66.67%,3
,,讲究眼镜	进击眼镜	博识眼镜,4,66.67%,2
,,讲究眼镜	能量增幅器	贝壳之铃,3,100.0%,2
,,能量增幅器	贝壳之铃	博识眼镜,9,90.0%,1
,,讲究眼镜	能量增幅器	气势头带,2,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
,,能量增幅器	救援屏障	博识眼镜,1,50.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,50.0%,1
,,讲究眼镜	气势头带	贝壳之铃,1,50.0%,1
36,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.4%,30,71.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムSensei,10,66.67%
,,McToffin,6,85.71%
,,Metallicツ,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,破壳		十字剪	逃脱按键,17,68.0%,6
,,破壳		十字剪	攻击强化,6,75.0%,5
,,破壳		十字剪	速度强化,3,75.0%,3
,,岩石封锁	十字剪	逃脱按键,1,100.0%,1
,,破壳		十字剪	向尾喵的尾巴,1,100.0%,1
,,破壳		十字剪	迟缓烟雾,1,100.0%,1
,,破壳		十字剪	伤药	,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	焦点镜,12,85.71%,6
,,亿奥斯饼干	猛攻哑铃	锐利之爪,10,66.67%,1
,,能量增幅器	猛攻哑铃	焦点镜,3,75.0%,1
,,猛攻哑铃	力量头带	焦点镜,1,100.0%,1
,,救援屏障	气势头带	弱点保险,1,100.0%,1
,,救援屏障	得分护盾	焦点镜,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	焦点镜,1,100.0%,1
,,救援屏障	猛攻哑铃	弱点保险,1,100.0%,1
,,猛攻哑铃	气势头带	焦点镜,0,0.0%,1
,,气势头带	锐利之爪	焦点镜,0,0.0%,1
,,救援屏障	亿奥斯饼干	气势头带,0,0.0%,1
37,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,0.23%,12,50.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,NoL_Reirei,2,40.0%
,,jĹ,1,100.0%
,,ZPRR.Raytow,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,青草搅拌器	棉花防守	伤药	,4,66.67%,3
,,青草搅拌器	棉花防守	攻击强化,3,42.86%,6
,,青草搅拌器	棉孢子	速度强化,1,100.0%,1
,,青草搅拌器	棉花防守	速度强化,1,100.0%,1
,,青草搅拌器	棉孢子	逃脱按键,1,100.0%,1
,,花粉团	棉花防守	速度强化,1,100.0%,1
,,花粉团	棉花防守	攻击强化,1,50.0%,1
,,青草搅拌器	棉孢子	攻击强化,0,0.0%,2
,,青草搅拌器	棉花防守	逃脱按键,0,0.0%,2
,,青草搅拌器	棉花防守	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,2,66.67%,3
,,讲究眼镜	救援屏障	学习装置,2,40.0%,1
,,学习装置	气势头带	力量头带,1,100.0%,1
,,救援屏障	进击眼镜	力量头带,1,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
,,救援屏障	进击眼镜	气势头带,1,100.0%,1
,,亿奥斯饼干	气势头带	力量头带,1,50.0%,1
,,进击眼镜	气势头带	锐利之爪,1,50.0%,1
,,讲究眼镜	能量增幅器	救援屏障,1,50.0%,1
,,救援屏障	学习装置	力量头带,1,50.0%,1
,,猛攻哑铃	气势头带	力量头带,0,0.0%,1
,,能量增幅器	救援屏障	贝壳之铃,0,0.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,0,0.0%,1
