,一共游戏场数,5786
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Parasite,2,100.0%
,,HMB_runpa,2,100.0%
,,ENT・ScepTer,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,10,43.48%,15
,,圣剑		广域防守	逃脱按键,6,85.71%,5
,,圣剑		广域防守	万灵药,6,75.0%,7
,,圣剑		广域防守	速度强化,4,100.0%,3
,,暗影爪	广域防守	伤药	,2,100.0%,2
,,圣剑		广域防守	攻击强化,2,66.67%,2
,,暗影爪	广域防守	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,7,70.0%,6
,,气势头带	力量头带	锐利之爪,3,37.5%,5
,,猛攻哑铃	气势头带	弱点保险,5,71.43%,4
,,气势头带	锐利之爪	弱点保险,2,66.67%,3
,,救援屏障	锐利之爪	弱点保险,2,100.0%,2
,,救援屏障	气势头带	力量头带,2,50.0%,2
,,力量头带	锐利之爪	焦点镜,2,100.0%,1
,,能量增幅器	猛攻哑铃	弱点保险,1,100.0%,1
,,救援屏障	猛攻哑铃	弱点保险,1,100.0%,1
,,救援屏障	学习装置	气势头带,1,100.0%,1
,,猛攻哑铃	力量头带	弱点保险,1,50.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,50.0%,1
,,猛攻哑铃	焦点镜	弱点保险,1,50.0%,1
,,猛攻哑铃	气势头带	焦点镜,1,50.0%,1
,,猛攻哑铃	锐利之爪	弱点保险,0,0.0%,1
33,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,21,0.71%,29,70.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Pyi_,8,72.73%
,,S8uL・Ghoul,3,100.0%
,,V・Dïnāsty,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	极光幕	攻击强化,12,75.0%,10
,,魔法闪耀	极光幕	逃脱按键,8,61.54%,5
,,雪崩		暴风雪	逃脱按键,3,75.0%,4
,,魔法闪耀	极光幕	万灵药,2,100.0%,2
,,雪崩		极光幕	逃脱按键,2,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,1,100.0%,1
,,魔法闪耀	极光幕	速度强化,1,100.0%,1
,,雪崩		暴风雪	攻击强化,0,0.0%,1
,,雪崩		暴风雪	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,11,68.75%,11
,,讲究眼镜	气势头带	博识眼镜,1,25.0%,4
,,讲究眼镜	气势头带	力量头带,5,83.33%,3
,,讲究眼镜	救援屏障	力量头带,3,100.0%,1
,,气势头带	力量头带	博识眼镜,1,100.0%,1
34,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,0.64%,19,51.35%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoneyMaxTTV,5,38.46%
,,ZapWarudo,4,50.0%
,,CeS梦Strix,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	预知未来	逃脱按键,6,66.67%,5
,,精神冲击	预知未来	速度强化,6,35.29%,3
,,精神冲击	幻象光线	速度强化,4,57.14%,3
,,辅助力量	预知未来	速度强化,2,66.67%,1
,,精神冲击	幻象光线	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	博识眼镜,8,50.0%,2
,,讲究眼镜	气势头带	力量头带,6,60.0%,2
,,讲究眼镜	救援屏障	气势头带,2,100.0%,2
,,讲究眼镜	气势头带	博识眼镜,2,50.0%,2
,,讲究眼镜	进击眼镜	气势头带,0,0.0%,2
,,讲究眼镜	进击眼镜	博识眼镜,1,33.33%,1
35,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.45%,18,69.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ほばち,6,85.71%
,,01Agno,5,100.0%
,,あ_げ,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻牙	十万马力	逃脱按键,5,83.33%,2
,,冰柱坠击	十万马力	伤药	,4,80.0%,2
,,冰柱坠击	地震		逃脱按键,2,100.0%,1
,,冰柱坠击	十万马力	逃脱按键,2,50.0%,3
,,冰柱坠击	地震		伤药	,1,100.0%,1
,,冰柱坠击	十万马力	速度强化,1,100.0%,1
,,冰柱坠击	地震		速度强化,1,100.0%,1
,,冰柱坠击	十万马力	迟缓烟雾,1,50.0%,2
,,冰冻牙	十万马力	速度强化,1,50.0%,1
,,冰冻牙	十万马力	迟缓烟雾,0,0.0%,1
,,冰冻牙	十万马力	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,8,100.0%,4
,,救援屏障	亿奥斯饼干	气势头带,2,66.67%,3
,,救援屏障	气势头带	弱点保险,1,33.33%,2
,,猛攻哑铃	气势头带	锐利之爪,6,85.71%,1
,,救援屏障	学习装置	气势头带,1,50.0%,1
,,救援屏障	气势头带	凸凸头盔,0,0.0%,1
,,气势头带	力量头带	弱点保险,0,0.0%,1
36,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.29%,10,58.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ぁa,2,100.0%
,,MeloskaPokki,1,100.0%
,,下手っぴ全一,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,破壳		隐形岩	向尾喵的尾巴,4,80.0%,4
,,破壳		十字剪	得分加速装置,3,60.0%,3
,,破壳		十字剪	速度强化,1,100.0%,1
,,破壳		十字剪	逃脱按键,1,100.0%,1
,,破壳		十字剪	攻击强化,1,100.0%,1
,,破壳		十字剪	伤药	,0,0.0%,1
,,破壳		隐形岩	得分加速装置,0,0.0%,1
,,岩石封锁	隐形岩	速度强化,0,0.0%,1
,,岩石封锁	十字剪	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	猛攻哑铃	气势头带,2,66.67%,3
,,救援屏障	气势头带	焦点镜,2,66.67%,2
,,锐利之爪	焦点镜	弱点保险,2,100.0%,1
,,救援屏障	得分护盾	气势头带,1,100.0%,1
,,救援屏障	得分护盾	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,得分护盾	猛攻哑铃	焦点镜,1,25.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
,,猛攻哑铃	轻石		气势头带,0,0.0%,1
37,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.16%,5,55.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IsWillTVツ,3,75.0%
,,RJG・Ruvis,1,100.0%
,,ENT・ProD,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	速度强化,3,75.0%,1
,,花粉团	棉花防守	万灵药,1,100.0%,1
,,青草搅拌器	棉孢子	攻击强化,1,50.0%,2
,,青草搅拌器	棉花防守	逃脱按键,0,0.0%,1
,,青草搅拌器	棉花防守	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,1,50.0%,2
,,救援屏障	进击眼镜	气势头带,3,75.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
,,进击眼镜	力量头带	焦点镜,0,0.0%,1
,,进击眼镜	力量头带	博识眼镜,0,0.0%,1
