,一共游戏场数,5878
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,Fanri,3,75.0%
,,Evilgenius2,2,100.0%
,,ObuyanTV・YT,2,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨声		冥想		速度强化,8,66.67%,6
,,魔法火焰	吸取之吻	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,5,83.33%,3
,,讲究眼镜	能量增幅器	气势头带,3,75.0%,1
,,亿奥斯饼干	进击眼镜	气势头带,1,100.0%,1
,,讲究眼镜	贝壳之铃	博识眼镜,0,0.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,0,0.0%,1
37,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.14%,5,62.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,xBlaine,2,100.0%
,,OH・Olivotec,1,100.0%
,,VisioNㅤ十,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,破壳		隐形岩	得分加速装置,2,100.0%,1
,,破壳		十字剪	得分加速装置,1,100.0%,1
,,破壳		隐形岩	速度强化,1,100.0%,1
,,破壳		十字剪	攻击强化,1,50.0%,2
,,岩石封锁	隐形岩	向尾喵的尾巴,0,0.0%,1
,,破壳		十字剪	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	焦点镜	弱点保险,2,66.67%,2
,,得分护盾	气势头带	焦点镜,2,100.0%,1
,,气势头带	锐利之爪	焦点镜,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,0,0.0%,1
,,猛攻哑铃	气势头带	弱点保险,0,0.0%,1
38,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,5,0.12%,4,57.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,PotatoUwU,1,100.0%
,,KlausVIII,1,100.0%
,,OGひraithe,1,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,3,75.0%,3
,,挖洞		地震		万灵药,1,50.0%,1
,,龙之俯冲	龙爪		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,3,50.0%,4
38,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.12%,5,71.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ほばち,1,100.0%
,,ToonSlim,1,100.0%
,,Sora火,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	潮旋		攻击强化,2,66.67%,2
,,水之波动	潮旋		速度强化,1,100.0%,1
,,水之波动	水流尾	速度强化,1,100.0%,1
,,嬉闹		水流尾	速度强化,1,100.0%,1
,,嬉闹		潮旋		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	猛攻哑铃	焦点镜,1,50.0%,2
,,能量增幅器	猛攻哑铃	气势头带,1,100.0%,1
,,猛攻哑铃	力量头带	弱点保险,1,100.0%,1
,,猛攻哑铃	气势头带	焦点镜,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,50.0%,1
40,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,3,0.09%,3,60.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Wulf?,2,100.0%
,,ほばち,1,50.0%
,,LFT_Mame,0,0.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,2,100.0%,1
,,魔法闪耀	极光幕	逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	贝壳之铃	博识眼镜,2,100.0%,1
,,气势头带	力量头带	焦点镜,1,50.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
41,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,1,0.02%,1,100.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,dordori,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,加农光炮	龙尾		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,1,100.0%,1
