,一共游戏场数,9896
1,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,追打		精神利刃	逃脱按键,1,100.0%,1
,,追打		突袭		攻击强化,1,100.0%,1
,,追打		突袭		逃脱按键,1,50.0%,2
,,暗袭要害	突袭		万灵药,0,0.0%,1
,,暗袭要害	精神利刃	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,23,82.14%,13
,,气势头带	焦点镜	锐利之爪,5,50.0%,4
,,气势头带	焦点镜	猛攻哑铃,6,75.0%,3
,,治愈王冠	焦点镜	锐利之爪,35,77.78%,2
,,力量头带	焦点镜	锐利之爪,11,68.75%,2
,,气势头带	猛攻哑铃	轻石,2,50.0%,1
,,治愈王冠	焦点镜	猛攻哑铃,1,100.0%,1
,,焦点镜	猛攻哑铃	能量增幅器,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
31,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.09%,80,74.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TR・Devesh,9,100.0%
,,GyZ,8,88.89%
,,HashOP,7,70.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,53,69.74%,20
,,圣剑		广域防守	万灵药,13,76.47%,8
,,圣剑		广域防守	速度强化,9,90.0%,3
,,暗影爪	广域防守	伤药	,2,100.0%,2
,,暗影爪	铁头		速度强化,1,100.0%,1
,,暗影爪	铁头		攻击强化,1,100.0%,1
,,圣剑		广域防守	迟缓烟雾,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	锐利之爪,20,76.92%,6
,,力量头带	气势头带	锐利之爪,10,100.0%,6
,,弱点保险	气势头带	猛攻哑铃,11,61.11%,5
,,力量头带	弱点保险	气势头带,8,44.44%,4
,,气势头带	猛攻哑铃	锐利之爪,9,100.0%,3
,,弱点保险	焦点镜	锐利之爪,3,75.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,3,60.0%,2
,,力量头带	学习装置	气势头带,8,88.89%,1
,,弱点保险	气势头带	轻石,4,80.0%,1
,,弱点保险	焦点镜	猛攻哑铃,2,100.0%,1
,,力量头带	气势头带	治愈王冠,2,100.0%,1
32,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,1.06%,71,67.62%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,relentIess,23,65.71%
,,ToonSlim,21,84.0%
,,OЯG・Aramis,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,46,70.77%,8
,,暗袭要害	暗影爪	万灵药,8,66.67%,6
,,出奇一击	暗影爪	万灵药,6,100.0%,3
,,出奇一击	居合劈	万灵药,5,35.71%,4
,,出奇一击	居合劈	逃脱按键,4,80.0%,2
,,暗袭要害	暗影爪	逃脱按键,1,100.0%,1
,,暗袭要害	居合劈	攻击强化,1,100.0%,1
,,暗袭要害	居合劈	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,8,53.33%,7
,,气势头带	猛攻哑铃	锐利之爪,10,58.82%,6
,,弱点保险	猛攻哑铃	轻石,1,50.0%,2
,,亿奥斯饼干	猛攻哑铃	轻石,23,65.71%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,21,84.0%,1
,,弱点保险	气势头带	猛攻哑铃,4,80.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,1,100.0%,1
,,猛攻哑铃	轻石	锐利之爪,1,100.0%,1
,,弱点保险	轻石	锐利之爪,1,100.0%,1
,,力量头带	连打围巾	锐利之爪,1,50.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,0,0.0%,1
32,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,1.06%,69,65.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvBnjFr,22,73.33%
,,한월36,6,50.0%
,,Osuサタン,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	吸取之吻	速度强化,22,66.67%,11
,,魔法火焰	吸取之吻	逃脱按键,16,66.67%,7
,,魔法火焰	吸取之吻	伤药	,13,61.9%,7
,,巨声		冥想		速度强化,12,80.0%,11
,,魔法火焰	吸取之吻	万灵药,4,40.0%,5
,,巨声		冥想		万灵药,1,100.0%,1
,,魔法火焰	冥想		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	气势头带	讲究眼镜,11,68.75%,9
,,力量头带	气势头带	连打围巾,33,68.75%,6
,,博识眼镜	讲究眼镜	进击眼镜,3,60.0%,3
,,气势头带	贝壳之铃	进击眼镜,2,66.67%,2
,,博识眼镜	讲究眼镜	贝壳之铃,1,50.0%,2
,,救援屏障	气势头带	讲究眼镜,6,50.0%,1
,,气势头带	讲究眼镜	连打围巾,4,80.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,2,100.0%,1
,,力量头带	气势头带	锐利之爪,2,66.67%,1
,,气势头带	讲究眼镜	进击眼镜,1,100.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,讲究眼镜	贝壳之铃	进击眼镜,1,100.0%,1
,,亿奥斯饼干	博识眼镜	进击眼镜,1,100.0%,1
,,气势头带	能量增幅器	贝壳之铃,1,50.0%,1
,,焦点镜	能量增幅器	连打围巾,0,0.0%,1
,,亿奥斯饼干	力量头带	气势头带,0,0.0%,1
,,力量头带	救援屏障	气势头带,0,0.0%,1
34,多龙巴鲁托,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.05%,71,68.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DISapple,9,81.82%
,,序盤イキり,7,77.78%
,,Zerocha,7,53.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		龙之舞	万灵药,48,64.86%,23
,,暗影球	潜灵奇袭	逃脱按键,10,100.0%,4
,,龙息		龙之舞	逃脱按键,6,85.71%,3
,,暗影球	潜灵奇袭	万灵药,2,66.67%,3
,,龙息		潜灵奇袭	万灵药,2,66.67%,2
,,暗影球	龙之舞	万灵药,2,40.0%,3
,,暗影球	潜灵奇袭	攻击强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,61,70.11%,28
,,力量头带	焦点镜	猛攻哑铃,3,60.0%,2
,,力量头带	连打围巾	锐利之爪,6,54.55%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
34,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,1.05%,76,73.08%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Suntahj,22,75.86%
,,亗・Proxie,7,77.78%
,,Twist3xd_TTV,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	逃脱按键,56,76.71%,20
,,电球		伏特攻击	速度强化,9,75.0%,3
,,电球		伏特攻击	伤药	,3,60.0%,1
,,电球		十万伏特	逃脱按键,3,60.0%,3
,,打雷		十万伏特	逃脱按键,2,66.67%,3
,,打雷		十万伏特	速度强化,2,50.0%,2
,,电球		伏特攻击	万灵药,1,100.0%,1
,,打雷		伏特攻击	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	讲究眼镜	贝壳之铃,24,75.0%,3
,,气势头带	能量增幅器	讲究眼镜,14,70.0%,3
,,救援屏障	气势头带	讲究眼镜,9,81.82%,3
,,力量头带	学习装置	救援屏障,11,91.67%,2
,,学习装置	救援屏障	能量增幅器,4,80.0%,2
,,力量头带	能量增幅器	讲究眼镜,3,75.0%,2
,,博识眼镜	能量增幅器	讲究眼镜,1,50.0%,2
,,救援屏障	能量增幅器	讲究眼镜,0,0.0%,2
,,学习装置	救援屏障	气势头带,3,60.0%,1
,,学习装置	能量增幅器	讲究眼镜,2,66.67%,1
,,力量头带	救援屏障	讲究眼镜,1,100.0%,1
,,力量头带	气势头带	能量增幅器,1,100.0%,1
,,力量头带	博识眼镜	能量增幅器,1,100.0%,1
,,力量头带	救援屏障	气势头带,1,50.0%,1
,,博识眼镜	气势头带	讲究眼镜,1,50.0%,1
,,气势头带	讲究眼镜	进击眼镜,0,0.0%,1
36,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,1.03%,75,73.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,XT๏Asil,28,71.79%
,,BR_YuponoYT,19,82.61%
,,アメノチハレ,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电光		疯狂伏特	攻击强化,50,76.92%,7
,,伏特替换	放电		攻击强化,12,85.71%,8
,,电光		放电		攻击强化,4,80.0%,3
,,伏特替换	放电		万灵药,4,66.67%,3
,,伏特替换	放电		速度强化,2,100.0%,2
,,电光		疯狂伏特	逃脱按键,2,66.67%,1
,,伏特替换	放电		逃脱按键,1,100.0%,1
,,电光		疯狂伏特	万灵药,0,0.0%,3
,,电光		疯狂伏特	伤药	,0,0.0%,2
,,电光		疯狂伏特	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,3,50.0%,3
,,救援屏障	气势头带	锐利之爪,31,72.09%,2
,,气势头带	猛攻哑铃	锐利之爪,3,100.0%,2
,,力量头带	气势头带	锐利之爪,3,60.0%,2
,,力量头带	弱点保险	能量增幅器,1,50.0%,2
,,力量头带	弱点保险	锐利之爪,19,82.61%,1
,,亿奥斯饼干	猛攻哑铃	连打围巾,3,100.0%,1
,,弱点保险	猛攻哑铃	连打围巾,3,75.0%,1
,,力量头带	气势头带	焦点镜,1,100.0%,1
,,力量头带	连打围巾	锐利之爪,1,100.0%,1
,,弱点保险	能量增幅器	连打围巾,1,100.0%,1
,,气势头带	能量增幅器	连打围巾,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,气势头带	焦点镜	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	轻石,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
,,气势头带	猛攻哑铃	能量增幅器,0,0.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,0,0.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,0,0.0%,1
37,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,0.87%,64,74.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,한월36,10,71.43%
,,PO・Badshahh,8,88.89%
,,UExVEGETA,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	极光幕	逃脱按键,45,71.43%,21
,,魔法闪耀	极光幕	攻击强化,14,93.33%,7
,,魔法闪耀	极光幕	伤药	,2,66.67%,1
,,雪崩		暴风雪	伤药	,1,100.0%,1
,,魔法闪耀	极光幕	万灵药,1,100.0%,1
,,雪崩		暴风雪	逃脱按键,1,50.0%,2
,,魔法闪耀	极光幕	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,44,73.33%,20
,,力量头带	焦点镜	连打围巾,11,78.57%,4
,,力量头带	学习装置	连打围巾,5,83.33%,2
,,力量头带	讲究眼镜	连打围巾,1,100.0%,1
,,力量头带	救援屏障	气势头带,1,100.0%,1
,,力量头带	进击眼镜	连打围巾,1,100.0%,1
,,救援屏障	进击眼镜	连打围巾,1,100.0%,1
,,力量头带	救援屏障	连打围巾,0,0.0%,1
,,救援屏障	气势头带	讲究眼镜,0,0.0%,1
38,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,0.7%,47,68.12%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TKK,28,71.79%
,,99ムSensei,6,85.71%
,,Ghatlue,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,种子机关枪	大快朵颐	向尾喵的尾巴,30,73.17%,2
,,打嗝		渴望		向尾喵的尾巴,7,87.5%,6
,,打嗝		渴望		伤药	,6,54.55%,6
,,打嗝		渴望		逃脱按键,2,66.67%,2
,,打嗝		渴望		迟缓烟雾,1,100.0%,1
,,种子机关枪	大快朵颐	伤药	,1,100.0%,1
,,打嗝		渴望		速度强化,0,0.0%,3
,,种子机关枪	大快朵颐	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	猛攻哑铃	能量增幅器,6,50.0%,4
,,气势头带	猛攻哑铃	轻石,7,77.78%,3
,,亿奥斯饼干	得分护盾	猛攻哑铃,29,72.5%,2
,,弱点保险	气势头带	猛攻哑铃,2,50.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,1,50.0%,2
,,学习装置	气势头带	轻石,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
39,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,0.66%,51,78.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Lunderu,14,87.5%
,,kyriaos,5,83.33%
,,OGmikeyツ,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	速度强化,24,85.71%,8
,,缝影		影子偷袭	逃脱按键,22,81.48%,12
,,飞叶快刀	影子偷袭	逃脱按键,2,66.67%,1
,,缝影		影子偷袭	万灵药,2,50.0%,3
,,飞叶快刀	飞叶风暴	万灵药,1,100.0%,1
,,缝影		飞叶风暴	速度强化,0,0.0%,1
,,缝影		飞叶风暴	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	猛攻哑铃,11,78.57%,5
,,力量头带	猛攻哑铃	连打围巾,3,42.86%,5
,,力量头带	猛攻哑铃	轻石,9,81.82%,4
,,力量头带	焦点镜	连打围巾,15,83.33%,2
,,力量头带	轻石	连打围巾,3,100.0%,2
,,焦点镜	猛攻哑铃	连打围巾,3,100.0%,1
,,气势头带	猛攻哑铃	轻石,2,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,2,66.67%,1
,,力量头带	轻石	锐利之爪,2,66.67%,1
,,焦点镜	轻石	锐利之爪,1,100.0%,1
40,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.65%,38,59.38%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,讎鑼格安SIM,23,57.5%
,,Just_Us,12,75.0%
,,SatoruuuGOJO,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之波动	龙尾		万灵药,23,57.5%,1
,,加农光炮	龙尾		万灵药,12,75.0%,1
,,龙之波动	龙尾		攻击强化,2,66.67%,2
,,龙之波动	龙尾		逃脱按键,1,33.33%,2
,,加农光炮	龙尾		攻击强化,0,0.0%,1
,,龙之波动	龙尾		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,14,60.87%,6
,,力量头带	治愈王冠	连打围巾,23,57.5%,1
,,力量头带	救援屏障	焦点镜,1,100.0%,1
41,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.6%,40,67.8%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IMP_PIRATE,8,72.73%
,,Trafyyy,6,100.0%
,,Æ·player666,5,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,25,67.57%,9
,,蓄能焰袭	飞翔		得分加速装置,8,72.73%,5
,,蓄能焰袭	飞翔		攻击强化,5,62.5%,3
,,蓄能焰袭	飞翔		向尾喵的尾巴,1,100.0%,1
,,燕返		勇鸟猛攻	逃脱按键,1,100.0%,1
,,燕返		飞翔		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	轻石	锐利之爪,10,62.5%,3
,,气势头带	猛攻哑铃	锐利之爪,2,66.67%,3
,,猛攻哑铃	能量增幅器	锐利之爪,8,72.73%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,6,100.0%,1
,,力量头带	能量增幅器	锐利之爪,4,66.67%,1
,,亿奥斯饼干	力量头带	得分护盾,3,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,3,60.0%,1
,,力量头带	焦点镜	连打围巾,2,40.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	治愈王冠	锐利之爪,0,0.0%,1
,,气势头带	焦点镜	猛攻哑铃,0,0.0%,1
42,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,0.59%,43,74.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Noun・ADESu,10,83.33%
,,前茶.,8,72.73%
,,OЯG・Aramis,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,28,73.68%,14
,,龙之舞	破坏光线	逃脱按键,11,73.33%,6
,,龙之舞	破坏光线	攻击强化,2,100.0%,2
,,龙之舞	逆鳞		万灵药,2,66.67%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	焦点镜,14,77.78%,7
,,力量头带	气势头带	连打围巾,12,70.59%,6
,,力量头带	气势头带	锐利之爪,12,80.0%,4
,,力量头带	焦点镜	连打围巾,2,100.0%,2
,,力量头带	连打围巾	锐利之爪,1,50.0%,2
,,力量头带	焦点镜	锐利之爪,1,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,1,33.33%,1
43,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.42%,27,64.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Teflon天使,13,54.17%
,,TKK,5,71.43%
,,Red_Eye?,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	速度强化,16,59.26%,4
,,喷射火焰	大字爆炎	万灵药,4,100.0%,2
,,喷射火焰	闪焰冲锋	速度强化,4,66.67%,1
,,喷射火焰	大字爆炎	逃脱按键,2,100.0%,1
,,喷射火焰	大字爆炎	攻击强化,1,100.0%,1
,,喷射火焰	闪焰冲锋	逃脱按键,0,0.0%,1
,,火焰拳	闪焰冲锋	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	能量增幅器,17,60.71%,3
,,力量头带	气势头带	焦点镜,2,50.0%,3
,,力量头带	焦点镜	猛攻哑铃,2,100.0%,2
,,焦点镜	猛攻哑铃	能量增幅器,5,71.43%,1
,,力量头带	猛攻哑铃	能量增幅器,1,100.0%,1
44,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.41%,29,70.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Joеy,9,75.0%
,,GyZ,8,100.0%
,,Scrublenaut,5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	逃脱按键,10,71.43%,2
,,潜灵奇袭	戏法		速度强化,8,80.0%,3
,,潜灵奇袭	异次元洞	速度强化,4,80.0%,4
,,暗影球	异次元洞	伤药	,3,75.0%,1
,,潜灵奇袭	异次元洞	伤药	,1,100.0%,1
,,潜灵奇袭	戏法		逃脱按键,1,100.0%,1
,,潜灵奇袭	异次元洞	攻击强化,1,100.0%,1
,,暗影球	戏法		伤药	,1,50.0%,1
,,暗影球	戏法		攻击强化,0,0.0%,1
,,暗影球	异次元洞	速度强化,0,0.0%,1
,,暗影球	戏法		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	气势头带,10,76.92%,4
,,学习装置	气势头带	连打围巾,10,66.67%,3
,,力量头带	学习装置	连打围巾,5,71.43%,1
,,力量头带	气势头带	讲究眼镜,2,100.0%,1
,,力量头带	焦点镜	连打围巾,1,100.0%,1
,,力量头带	讲究眼镜	连打围巾,1,100.0%,1
,,学习装置	救援屏障	气势头带,0,0.0%,1
,,力量头带	救援屏障	气势头带,0,0.0%,1
45,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.31%,23,74.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoM·Parasite,19,79.17%
,,QLASH・Stark,1,100.0%
,,overlord98,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	滚动		逃脱按键,19,79.17%,1
,,魔法闪耀	唱歌		速度强化,3,60.0%,5
,,魔法闪耀	唱歌		逃脱按键,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,21,75.0%,5
,,救援屏障	气势头带	突击背心,1,100.0%,1
,,得分护盾	救援屏障	气势头带,1,100.0%,1
,,力量头带	学习装置	气势头带,0,0.0%,1
46,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,7,0.25%,13,52.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BR_YuponoYT,7,58.33%
,,Noun・BruvHD,4,50.0%
,,YASHRANGERA,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,破壳		隐形岩	向尾喵的尾巴,5,45.45%,2
,,岩石封锁	隐形岩	逃脱按键,3,42.86%,1
,,破壳		隐形岩	迟缓烟雾,1,100.0%,1
,,破壳		十字剪	迟缓烟雾,1,100.0%,1
,,岩石封锁	十字剪	逃脱按键,1,100.0%,1
,,破壳		十字剪	逃脱按键,1,100.0%,1
,,破壳		十字剪	攻击强化,1,50.0%,2
,,岩石封锁	隐形岩	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,1,50.0%,2
,,救援屏障	气势头带	猛攻哑铃,7,58.33%,1
,,学习装置	得分护盾	气势头带,4,50.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,0,0.0%,1
,,得分护盾	气势头带	猛攻哑铃,0,0.0%,1
47,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.16%,10,62.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Dritosch,4,80.0%
,,Miza乂,3,100.0%
,,YASHRANGERA,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术		木角		速度强化,8,72.73%,5
,,咒术		木角		伤药	,2,40.0%,5
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	气势头带	猛攻哑铃,8,72.73%,5
,,弱点保险	救援屏障	气势头带,0,0.0%,2
,,亿奥斯饼干	气势头带	治愈王冠,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,学习装置	气势头带	猛攻哑铃,0,0.0%,1
