,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,共鸣护盾	救援屏障	气势头带,0,0.0%,1
28,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,1.18%,109,73.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,かるぶい,34,73.91%
,,IvanaMaria,25,73.53%
,,BusterALL,23,82.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	佯攻		逃脱按键,57,71.25%,13
,,火焰球	蓄能焰袭	攻击强化,26,72.22%,3
,,火焰踢	蓄能焰袭	逃脱按键,12,85.71%,5
,,火焰踢	佯攻		攻击强化,9,90.0%,2
,,火焰球	佯攻		攻击强化,3,75.0%,3
,,火焰球	佯攻		逃脱按键,2,66.67%,3
,,火焰踢	蓄能焰袭	万灵药,0,0.0%,1
,,火焰球	蓄能焰袭	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,107,73.29%,22
,,力量头带	猛攻哑铃	连打围巾,1,50.0%,2
,,力量头带	咒术手镯	连打围巾,1,100.0%,1
29,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,1.16%,103,70.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,彼此一般,8,88.89%
,,WeStanSZA,8,80.0%
,,終焉の漆黒N,7,77.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	速度强化,50,70.42%,22
,,花粉团	棉孢子	速度强化,40,75.47%,21
,,花粉团	棉花防守	迟缓烟雾,3,75.0%,1
,,花粉团	棉孢子	攻击强化,2,40.0%,2
,,花粉团	棉孢子	迟缓烟雾,1,100.0%,1
,,青草搅拌器	棉花防守	速度强化,1,100.0%,1
,,青草搅拌器	棉孢子	攻击强化,1,100.0%,1
,,花粉团	棉孢子	伤药	,1,100.0%,1
,,花粉团	棉花防守	万灵药,1,100.0%,1
,,花粉团	棉孢子	万灵药,1,50.0%,2
,,花粉团	棉花防守	逃脱按键,1,50.0%,2
,,花粉团	棉花防守	攻击强化,1,50.0%,1
,,花粉团	棉孢子	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	救援屏障,23,63.89%,10
,,力量头带	咒术熏香	学习装置,26,70.27%,9
,,力量头带	学习装置	连打围巾,4,57.14%,3
,,力量头带	学习装置	气势头带,3,75.0%,3
,,咒术熏香	学习装置	救援屏障,6,66.67%,2
,,共鸣护盾	学习装置	救援屏障,3,100.0%,2
,,力量头带	学习装置	穿透汤匙,2,40.0%,2
,,共鸣护盾	咒术熏香	学习装置,8,88.89%,1
,,力量头带	博识眼镜	学习装置,7,77.78%,1
,,咒术熏香	学习装置	连打围巾,6,85.71%,1
,,学习装置	讲究眼镜	连打围巾,5,71.43%,1
,,力量头带	博识眼镜	进击眼镜,2,100.0%,1
,,学习装置	救援屏障	贝壳之铃,2,66.67%,1
,,力量头带	博识眼镜	贝壳之铃,1,100.0%,1
,,共鸣护盾	力量头带	学习装置,1,100.0%,1
,,力量头带	学习装置	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	连打围巾,1,100.0%,1
,,博识眼镜	学习装置	连打围巾,1,100.0%,1
,,咒术熏香	学习装置	气势头带,1,100.0%,1
,,共鸣护盾	博识眼镜	学习装置,0,0.0%,1
,,共鸣护盾	进击眼镜	连打围巾,0,0.0%,1
30,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,1.1%,103,74.1%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,uy*,28,70.0%
,,Liebertさ,22,81.48%
,,ISN・Gabsuu,10,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,82,74.55%,20
,,月光		看我嘛	速度强化,12,70.59%,8
,,月光		重力		伤药	,5,100.0%,1
,,月光		重力		逃脱按键,2,50.0%,3
,,吸取之吻	重力		逃脱按键,1,100.0%,1
,,月光		看我嘛	逃脱按键,1,100.0%,1
,,吸取之吻	看我嘛	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	进击眼镜,56,73.68%,11
,,学习装置	救援屏障	进击眼镜,41,77.36%,9
,,学习装置	援助头巾	进击眼镜,1,50.0%,2
,,穿透汤匙	讲究眼镜	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,亿奥斯饼干	学习装置	进击眼镜,1,100.0%,1
,,学习装置	能量增幅器	进击眼镜,1,50.0%,1
,,学习装置	气势头带	贝壳之铃,0,0.0%,1
,,学习装置	穿透汤匙	进击眼镜,0,0.0%,1
31,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,1.08%,92,67.65%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,-electric-,24,68.57%
,,ÇösmïçッLëõ,16,80.0%
,,TW頹ZIAKAN,9,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		瞬间失忆	伤药	,41,75.93%,6
,,冲浪		意念移物	伤药	,14,58.33%,3
,,冲浪		意念移物	逃脱按键,10,50.0%,10
,,冲浪		瞬间失忆	逃脱按键,8,72.73%,9
,,热水		意念移物	逃脱按键,6,75.0%,6
,,热水		瞬间失忆	伤药	,4,80.0%,4
,,热水		瞬间失忆	逃脱按键,4,66.67%,5
,,热水		意念移物	速度强化,2,66.67%,2
,,冲浪		瞬间失忆	速度强化,1,100.0%,1
,,冲浪		意念移物	攻击强化,1,100.0%,1
,,热水		瞬间失忆	迟缓烟雾,1,100.0%,1
,,冲浪		意念移物	得分区控制器,0,0.0%,1
,,冲浪		意念移物	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	学习装置	气势头带,15,68.18%,11
,,共鸣护盾	学习装置	气势头带,20,66.67%,9
,,亿奥斯饼干	学习装置	气势头带,25,67.57%,2
,,亿奥斯饼干	共鸣护盾	进击眼镜,16,80.0%,1
,,学习装置	气势头带	穿透汤匙,4,80.0%,1
,,咒术熏香	讲究眼镜	进击眼镜,2,66.67%,1
,,亿奥斯饼干	气势头带	进击眼镜,2,66.67%,1
,,力量头带	咒术熏香	气势头带,2,66.67%,1
,,咒术熏香	能量增幅器	讲究眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	贝壳之铃,1,100.0%,1
,,穿透汤匙	突击背心	进击眼镜,1,100.0%,1
,,共鸣护盾	气势头带	进击眼镜,1,100.0%,1
,,学习装置	救援屏障	气势头带,1,100.0%,1
,,学习装置	气势头带	能量增幅器,0,0.0%,1
,,亿奥斯饼干	气势头带	突击背心,0,0.0%,1
,,学习装置	气势头带	讲究眼镜,0,0.0%,1
,,气势头带	穿透汤匙	进击眼镜,0,0.0%,1
32,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,1.07%,90,66.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Яей/bracky愛,21,60.0%
,,Savag3・,6,75.0%
,,Melodyy・GG,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	逃脱按键,46,59.74%,21
,,龙之舞	破坏光线	万灵药,33,80.49%,21
,,龙之舞	逆鳞		万灵药,9,75.0%,6
,,神速		逆鳞		万灵药,1,50.0%,2
,,龙之舞	逆鳞		逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,55,64.71%,20
,,力量头带	气势头带	焦点镜,6,60.0%,7
,,力量头带	焦点镜	连打围巾,10,71.43%,4
,,力量头带	气势头带	锐利之爪,6,100.0%,2
,,力量头带	弱点保险	焦点镜,2,66.67%,2
,,力量头带	猛攻哑铃	锐利之爪,5,71.43%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,充能坠饰	猛攻哑铃	轻石,1,100.0%,1
,,治愈王冠	焦点镜	连打围巾,1,100.0%,1
,,充能坠饰	力量头带	连打围巾,1,100.0%,1
,,力量头带	咒术手镯	锐利之爪,1,100.0%,1
,,力量头带	连打围巾	锐利之爪,1,50.0%,1
,,弱点保险	焦点镜	连打围巾,0,0.0%,1
,,力量头带	气势头带	连打围巾,0,0.0%,1
,,力量头带	得分护盾	焦点镜,0,0.0%,1
33,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,0.98%,85,69.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ZETA_CCatta,7,87.5%
,,ソロ辞めたい,6,85.71%
,,OS・Zycler,5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		热带踢	攻击强化,38,79.17%,23
,,踩踏		青草滑梯	攻击强化,14,50.0%,17
,,踩踏		热带踢	万灵药,13,72.22%,10
,,踩踏		青草滑梯	万灵药,12,63.16%,12
,,三旋击	青草滑梯	攻击强化,4,80.0%,4
,,三旋击	青草滑梯	万灵药,2,100.0%,2
,,三旋击	热带踢	攻击强化,2,100.0%,2
,,三旋击	热带踢	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,75,70.09%,39
,,弱点保险	猛攻哑铃	锐利之爪,4,50.0%,4
,,力量头带	弱点保险	猛攻哑铃,5,100.0%,3
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,50.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
34,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,0.97%,85,69.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,r1ヶU・一般,49,80.33%
,,KAiシ,5,55.56%
,,SG_kage値,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,破壳		隐形岩	向尾喵的尾巴,61,72.62%,16
,,岩石封锁	十字剪	逃脱按键,11,84.62%,9
,,岩石封锁	十字剪	向尾喵的尾巴,4,57.14%,1
,,破壳		十字剪	速度强化,2,66.67%,3
,,破壳		十字剪	逃脱按键,2,50.0%,3
,,破壳		隐形岩	速度强化,1,100.0%,1
,,破壳		十字剪	攻击强化,1,100.0%,1
,,岩石封锁	十字剪	伤药	,1,50.0%,2
,,岩石封锁	隐形岩	速度强化,1,50.0%,2
,,岩石封锁	十字剪	速度强化,1,33.33%,2
,,岩石封锁	隐形岩	伤药	,0,0.0%,1
,,岩石封锁	隐形岩	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,11,73.33%,6
,,力量头带	能量增幅器	轻石,3,50.0%,4
,,学习装置	气势头带	轻石,5,83.33%,3
,,弱点保险	气势头带	猛攻哑铃,51,80.95%,2
,,学习装置	猛攻哑铃	能量增幅器,4,100.0%,2
,,咒术手镯	学习装置	气势头带,2,66.67%,2
,,焦点镜	猛攻哑铃	锐利之爪,2,66.67%,2
,,气势头带	猛攻哑铃	轻石,1,33.33%,2
,,气势头带	能量增幅器	轻石,0,0.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,0,0.0%,2
,,充能坠饰	猛攻哑铃	轻石,2,66.67%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
,,学习装置	得分护盾	轻石,1,100.0%,1
,,亿奥斯饼干	咒术手镯	气势头带,1,50.0%,1
,,弱点保险	气势头带	能量增幅器,1,33.33%,1
,,学习装置	弱点保险	气势头带,0,0.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,0,0.0%,1
,,力量头带	学习装置	气势头带,0,0.0%,1
,,充能坠饰	弱点保险	猛攻哑铃,0,0.0%,1
35,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,0.91%,68,59.65%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,おにびのち,17,62.96%
,,×Elzeëįn×,10,62.5%
,,Xoat.,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,46,58.97%,26
,,燕返		勇鸟猛攻	逃脱按键,12,70.59%,2
,,燕返		勇鸟猛攻	攻击强化,4,50.0%,3
,,蓄能焰袭	飞翔		得分加速装置,2,66.67%,1
,,蓄能焰袭	飞翔		攻击强化,1,100.0%,1
,,蓄能焰袭	飞翔		速度强化,1,50.0%,2
,,燕返		飞翔		逃脱按键,1,50.0%,2
,,蓄能焰袭	飞翔		万灵药,1,50.0%,1
,,燕返		飞翔		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,42,62.69%,20
,,充能坠饰	猛攻哑铃	轻石,20,64.52%,9
,,猛攻哑铃	轻石	锐利之爪,5,50.0%,2
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,2
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
36,暴鲤龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,28,0.89%,72,64.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,T@i3!!,27,60.0%
,,ÇösmïçッLëõ,8,72.73%
,,DaniKoniTTV,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		弹跳		逃脱按键,40,65.57%,25
,,龙息		攀瀑		伤药	,27,60.0%,1
,,龙息		攀瀑		逃脱按键,3,75.0%,1
,,龙息		弹跳		万灵药,1,100.0%,1
,,龙息		弹跳		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,9,56.25%,8
,,弱点保险	猛攻哑铃	锐利之爪,13,81.25%,4
,,力量头带	猛攻哑铃	锐利之爪,10,71.43%,4
,,力量头带	弱点保险	猛攻哑铃,6,60.0%,3
,,力量头带	气势头带	锐利之爪,5,83.33%,3
,,凸凸头盔	气势头带	猛攻哑铃,27,60.0%,1
,,力量头带	弱点保险	锐利之爪,1,100.0%,1
,,猛攻哑铃	连打围巾	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,0,0.0%,1
,,焦点镜	猛攻哑铃	连打围巾,0,0.0%,1
,,力量头带	焦点镜	连打围巾,0,0.0%,1
36,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,21,0.89%,61,54.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,任义伟,17,51.52%
,,NR夜|YIRO,10,52.63%
,,Netherwipe,8,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,千变万花	影子分身	逃脱按键,29,48.33%,11
,,暗袭要害	起草		脱壳忍者玩偶,14,58.33%,2
,,暗袭要害	起草		万灵药,8,66.67%,1
,,暗袭要害	起草		攻击强化,3,75.0%,2
,,暗袭要害	起草		向尾喵的尾巴,3,50.0%,2
,,千变万花	影子分身	脱壳忍者玩偶,2,100.0%,1
,,暗袭要害	起草		逃脱按键,2,50.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,28,50.0%,7
,,充能坠饰	猛攻哑铃	锐利之爪,4,50.0%,3
,,力量头带	焦点镜	锐利之爪,11,55.0%,2
,,充能坠饰	猛攻哑铃	能量增幅器,3,42.86%,2
,,力量头带	猛攻哑铃	锐利之爪,1,50.0%,2
,,焦点镜	猛攻哑铃	锐利之爪,8,66.67%,1
,,猛攻哑铃	轻石	锐利之爪,2,100.0%,1
,,力量头带	轻石	锐利之爪,2,66.67%,1
,,焦点镜	猛攻哑铃	能量增幅器,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
38,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,0.87%,73,66.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BB・Amotti,47,63.51%
,,VPS__,2,100.0%
,,OS・Sonic4D,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	水流尾	速度强化,68,66.02%,20
,,嬉闹		潮旋		攻击强化,3,75.0%,4
,,嬉闹		水流尾	速度强化,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	焦点镜	猛攻哑铃,53,64.63%,9
,,焦点镜	猛攻哑铃	锐利之爪,7,77.78%,4
,,力量头带	焦点镜	猛攻哑铃,2,66.67%,2
,,气势头带	焦点镜	猛攻哑铃,1,50.0%,2
,,焦点镜	猛攻哑铃	能量增幅器,2,100.0%,1
,,亿奥斯饼干	救援屏障	气势头带,2,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,2,100.0%,1
,,学习装置	焦点镜	猛攻哑铃,2,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,咒术手镯	焦点镜	猛攻哑铃,1,33.33%,1
,,力量头带	弱点保险	焦点镜,0,0.0%,1
39,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,0.83%,67,64.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,rikoru@remyi,9,64.29%
,,Serika愛,5,50.0%
,,TS_ふぱぁ,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	速度强化,36,64.29%,21
,,潜灵奇袭	异次元洞	逃脱按键,11,61.11%,11
,,暗影球	戏法		逃脱按键,5,50.0%,1
,,潜灵奇袭	异次元洞	万灵药,4,80.0%,2
,,暗影球	戏法		伤药	,3,100.0%,1
,,暗影球	戏法		速度强化,3,50.0%,2
,,潜灵奇袭	戏法		逃脱按键,2,100.0%,2
,,潜灵奇袭	异次元洞	伤药	,2,100.0%,1
,,潜灵奇袭	戏法		万灵药,1,100.0%,1
,,潜灵奇袭	戏法		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	咒术熏香	学习装置,25,69.44%,16
,,共鸣护盾	力量头带	学习装置,20,74.07%,8
,,共鸣护盾	学习装置	气势头带,7,70.0%,5
,,力量头带	学习装置	气势头带,4,36.36%,5
,,咒术熏香	学习装置	轻石,2,50.0%,2
,,学习装置	气势头带	轻石,9,64.29%,1
,,共鸣护盾	学习装置	能量增幅器,0,0.0%,1
,,咒术熏香	学习装置	气势头带,0,0.0%,1
40,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,41,0.79%,73,73.74%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ZETA_Rom,12,92.31%
,,Kp·心跳危機,8,66.67%
,,回国,6,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,21,77.78%,17
,,电球		指导		逃脱按键,15,83.33%,12
,,冲浪		高速移动	逃脱按键,14,60.87%,17
,,电球		高速移动	逃脱按键,13,92.86%,11
,,冲浪		指导		逃脱按键,4,100.0%,4
,,冲浪		光墙		逃脱按键,3,100.0%,3
,,电球		光墙		逃脱按键,3,30.0%,7
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,24,70.59%,15
,,博识眼镜	讲究眼镜	进击眼镜,18,66.67%,11
,,博识眼镜	学习装置	讲究眼镜,20,86.96%,5
,,学习装置	穿透汤匙	讲究眼镜,5,83.33%,4
,,穿透汤匙	讲究眼镜	进击眼镜,0,0.0%,2
,,学习装置	讲究眼镜	进击眼镜,2,100.0%,1
,,博识眼镜	学习装置	进击眼镜,2,66.67%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
41,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.73%,68,73.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ødeleggelse,23,85.19%
,,흑흑때리지망,9,64.29%
,,Fly1ngDutch,8,61.54%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,击落		蛮力		逃脱按键,31,79.49%,21
,,猛扑		蛮力		逃脱按键,15,88.24%,1
,,猛扑		蛮力		速度强化,8,61.54%,1
,,击落		汲取		伤药	,5,71.43%,1
,,击落		汲取		逃脱按键,3,60.0%,4
,,击落		汲取		速度强化,2,50.0%,1
,,击落		蛮力		伤药	,1,100.0%,1
,,猛扑		汲取		速度强化,1,100.0%,1
,,猛扑		汲取		攻击强化,1,100.0%,1
,,击落		蛮力		万灵药,1,50.0%,1
,,击落		蛮力		速度强化,0,0.0%,1
,,猛扑		汲取		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	猛攻哑铃,13,86.67%,10
,,弱点保险	气势头带	猛攻哑铃,7,63.64%,6
,,力量头带	弱点保险	猛攻哑铃,12,63.16%,5
,,力量头带	猛攻哑铃	连打围巾,2,100.0%,2
,,气势头带	猛攻哑铃	轻石,23,85.19%,1
,,弱点保险	猛攻哑铃	锐利之爪,9,64.29%,1
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,33.33%,1
42,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,0.72%,63,69.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvPaPiYanG,18,90.0%
,,흑흑때리지망,7,70.0%
,,Vintage帝,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	逃脱按键,44,81.48%,17
,,缝影		影子偷袭	速度强化,8,61.54%,7
,,飞叶快刀	飞叶风暴	攻击强化,3,37.5%,4
,,飞叶快刀	飞叶风暴	万灵药,2,100.0%,1
,,飞叶快刀	影子偷袭	万灵药,1,100.0%,1
,,飞叶快刀	影子偷袭	攻击强化,1,100.0%,1
,,飞叶快刀	飞叶风暴	逃脱按键,1,50.0%,2
,,缝影		影子偷袭	伤药	,1,50.0%,1
,,缝影		影子偷袭	攻击强化,1,50.0%,1
,,缝影		飞叶风暴	逃脱按键,1,33.33%,2
,,飞叶快刀	影子偷袭	逃脱按键,0,0.0%,2
,,缝影		影子偷袭	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	力量头带	猛攻哑铃,9,64.29%,6
,,力量头带	焦点镜	连打围巾,6,54.55%,5
,,力量头带	猛攻哑铃	轻石,5,62.5%,4
,,充能坠饰	咒术手镯	猛攻哑铃,2,100.0%,2
,,充能坠饰	猛攻哑铃	轻石,2,66.67%,2
,,充能坠饰	力量头带	轻石,2,28.57%,2
,,咒术手镯	猛攻哑铃	轻石,18,90.0%,1
,,充能坠饰	力量头带	能量增幅器,7,70.0%,1
,,焦点镜	猛攻哑铃	轻石,2,100.0%,1
,,猛攻哑铃	轻石	锐利之爪,2,100.0%,1
,,力量头带	咒术手镯	焦点镜,2,66.67%,1
,,学习装置	猛攻哑铃	轻石,1,100.0%,1
,,充能坠饰	学习装置	轻石,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,50.0%,1
,,充能坠饰	力量头带	咒术手镯,1,50.0%,1
,,力量头带	轻石	锐利之爪,0,0.0%,1
43,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,0.7%,64,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,セラータ,9,90.0%
,,ĆčĆ,7,77.78%
,,NR夜|YIRO,6,54.55%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	哈欠		逃脱按键,28,70.0%,18
,,重磅冲撞	哈欠		速度强化,13,61.9%,5
,,重磅冲撞	挡路		逃脱按键,9,100.0%,6
,,重磅冲撞	挡路		速度强化,4,80.0%,5
,,抓狂		哈欠		伤药	,3,100.0%,1
,,抓狂		哈欠		脱壳忍者玩偶,2,100.0%,1
,,抓狂		哈欠		逃脱按键,2,100.0%,2
,,重磅冲撞	挡路		伤药	,2,100.0%,1
,,重磅冲撞	哈欠		伤药	,1,100.0%,1
,,抓狂		挡路		速度强化,0,0.0%,2
,,抓狂		挡路		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,20,71.43%,11
,,学习装置	救援屏障	气势头带,12,80.0%,10
,,学习装置	气势头带	轻石,14,77.78%,7
,,亿奥斯饼干	学习装置	气势头带,4,80.0%,2
,,亿奥斯饼干	力量头带	气势头带,2,66.67%,2
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,6,54.55%,1
,,亿奥斯饼干	力量头带	治愈王冠,3,75.0%,1
,,共鸣护盾	吃剩的东西	气势头带,2,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,亿奥斯饼干	力量头带	连打围巾,0,0.0%,1
44,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,0.68%,48,55.81%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,T@i3!!,11,61.11%
,,KAiシ,5,71.43%
,,Itoshi凛!,3,42.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,21,72.41%,20
,,双翼		二连击	万灵药,12,36.36%,16
,,子弹拳	剑舞		伤药	,8,80.0%,1
,,双翼		剑舞		攻击强化,5,71.43%,1
,,子弹拳	剑舞		逃脱按键,2,50.0%,1
,,双翼		剑舞		脱壳忍者玩偶,0,0.0%,1
,,双翼		剑舞		速度强化,0,0.0%,1
,,双翼		二连击	伤药	,0,0.0%,1
