,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,博识眼镜	咒术熏香	讲究眼镜,31,93.94%,1
,,共鸣护盾	讲究眼镜	进击眼镜,19,90.48%,1
,,咒术熏香	学习装置	穿透汤匙,16,94.12%,1
,,咒术熏香	气势头带	穿透汤匙,16,69.57%,1
,,咒术熏香	学习装置	讲究眼镜,13,81.25%,1
,,博识眼镜	穿透汤匙	进击眼镜,3,60.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,2,50.0%,1
28,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,1.16%,83,68.6%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,§¶¿DANIEL?¶§,20,83.33%
,,ŁîgeŘ(+_+),4,100.0%
,,MACH<3LISA,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电光		放电		攻击强化,29,76.32%,9
,,伏特替换	放电		万灵药,26,78.79%,22
,,电光		疯狂伏特	攻击强化,8,61.54%,6
,,伏特替换	放电		攻击强化,7,70.0%,7
,,电光		疯狂伏特	万灵药,5,55.56%,6
,,电光		放电		万灵药,4,100.0%,3
,,电光		放电		伤药	,2,100.0%,2
,,电光		疯狂伏特	逃脱按键,1,25.0%,3
,,伏特替换	疯狂伏特	攻击强化,1,25.0%,1
,,电光		放电		迟缓烟雾,0,0.0%,1
,,电光		疯狂伏特	伤药	,0,0.0%,1
,,伏特替换	疯狂伏特	脱壳忍者玩偶,0,0.0%,1
,,伏特替换	放电		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	锐利之爪,22,66.67%,19
,,弱点保险	猛攻哑铃	锐利之爪,4,33.33%,4
,,力量头带	弱点保险	锐利之爪,4,50.0%,3
,,力量头带	弱点保险	能量增幅器,3,75.0%,3
,,力量头带	弱点保险	气势头带,2,50.0%,3
,,力量头带	气势头带	锐利之爪,6,100.0%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,4,66.67%,2
,,气势头带	猛攻哑铃	锐利之爪,2,100.0%,2
,,力量头带	猛攻哑铃	锐利之爪,2,100.0%,2
,,力量头带	咒术手镯	锐利之爪,20,83.33%,1
,,力量头带	能量增幅器	锐利之爪,4,100.0%,1
,,弱点保险	能量增幅器	锐利之爪,2,100.0%,1
,,亿奥斯饼干	焦点镜	锐利之爪,2,66.67%,1
,,充能坠饰	力量头带	锐利之爪,2,50.0%,1
,,力量头带	救援屏障	锐利之爪,1,100.0%,1
,,能量增幅器	连打围巾	锐利之爪,1,100.0%,1
,,充能坠饰	弱点保险	气势头带,1,100.0%,1
,,气势头带	轻石	锐利之爪,1,50.0%,1
,,充能坠饰	轻石	锐利之爪,0,0.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,0,0.0%,1
31,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,1.14%,81,68.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OG舎Operator,17,85.0%
,,Vintage帝,5,100.0%
,,Hologamit?,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水炮		冲浪		逃脱按键,73,69.52%,45
,,水炮		高速旋转	逃脱按键,2,66.67%,3
,,水炮		冲浪		速度强化,2,40.0%,2
,,喷水		高速旋转	逃脱按键,1,100.0%,1
,,喷水		高速旋转	向尾喵的尾巴,1,100.0%,1
,,喷水		冲浪		逃脱按键,1,50.0%,2
,,喷水		高速旋转	伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,25,73.53%,10
,,学习装置	救援屏障	气势头带,7,77.78%,5
,,咒术熏香	学习装置	气势头带,3,50.0%,5
,,力量头带	学习装置	气势头带,9,81.82%,4
,,力量头带	气势头带	连打围巾,4,80.0%,4
,,穿透汤匙	讲究眼镜	进击眼镜,3,75.0%,3
,,学习装置	气势头带	能量增幅器,2,66.67%,3
,,气势头带	穿透汤匙	进击眼镜,2,33.33%,3
,,咒术熏香	穿透汤匙	讲究眼镜,3,75.0%,2
,,学习装置	气势头带	穿透汤匙,2,50.0%,2
,,学习装置	穿透汤匙	讲究眼镜,5,100.0%,1
,,学习装置	气势头带	突击背心,5,100.0%,1
,,咒术熏香	气势头带	讲究眼镜,3,42.86%,1
,,力量头带	气势头带	进击眼镜,2,100.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,1,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,100.0%,1
,,力量头带	气势头带	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,1,50.0%,1
,,力量头带	气势头带	穿透汤匙,1,33.33%,1
,,气势头带	穿透汤匙	讲究眼镜,1,33.33%,1
,,凸凸头盔	学习装置	气势头带,0,0.0%,1
,,学习装置	穿透汤匙	进击眼镜,0,0.0%,1
,,气势头带	穿透汤匙	能量增幅器,0,0.0%,1
32,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,1.08%,79,69.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ぽっぽ0106,17,80.95%
,,GaticoPe,11,78.57%
,,チャビッド,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	逃脱按键,29,64.44%,28
,,打雷		伏特攻击	逃脱按键,24,85.71%,7
,,打雷		伏特攻击	速度强化,12,80.0%,2
,,打雷		十万伏特	逃脱按键,7,63.64%,9
,,打雷		十万伏特	速度强化,4,100.0%,1
,,电球		伏特攻击	速度强化,3,50.0%,3
,,打雷		十万伏特	脱壳忍者玩偶,0,0.0%,1
,,电球		伏特攻击	脱壳忍者玩偶,0,0.0%,1
,,电球		伏特攻击	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,35,71.43%,17
,,穿透汤匙	能量增幅器	贝壳之铃,20,74.07%,9
,,咒术熏香	穿透汤匙	能量增幅器,8,80.0%,5
,,博识眼镜	能量增幅器	讲究眼镜,6,50.0%,5
,,博识眼镜	咒术熏香	穿透汤匙,1,50.0%,2
,,咒术熏香	能量增幅器	讲究眼镜,1,50.0%,2
,,能量增幅器	讲究眼镜	贝壳之铃,3,60.0%,1
,,学习装置	能量增幅器	讲究眼镜,2,100.0%,1
,,学习装置	穿透汤匙	能量增幅器,1,100.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,1,100.0%,1
,,博识眼镜	救援屏障	讲究眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,0,0.0%,1
33,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,1.06%,79,71.17%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,GS・Long,14,70.0%
,,豆Y,10,76.92%
,,ƛяєѕ,6,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,76,72.38%,36
,,龙之俯冲	龙爪		向尾喵的尾巴,1,100.0%,1
,,龙之俯冲	龙爪		万灵药,1,100.0%,1
,,龙之俯冲	地震		伤药	,1,100.0%,1
,,龙之俯冲	龙爪		攻击强化,0,0.0%,1
,,挖洞		地震		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,17,73.91%,10
,,气势头带	猛攻哑铃	连打围巾,30,68.18%,8
,,弱点保险	气势头带	连打围巾,10,71.43%,5
,,力量头带	焦点镜	连打围巾,9,75.0%,5
,,力量头带	气势头带	猛攻哑铃,7,87.5%,3
,,焦点镜	猛攻哑铃	连打围巾,2,100.0%,2
,,力量头带	气势头带	焦点镜,2,100.0%,2
,,力量头带	弱点保险	连打围巾,1,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,救援屏障	气势头带	连打围巾,0,0.0%,1
,,力量头带	治愈王冠	连打围巾,0,0.0%,1
,,力量头带	猛攻哑铃	连打围巾,0,0.0%,1
34,谜拟丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,1.05%,74,67.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,魔王アイス,6,100.0%
,,ホコラ,4,80.0%
,,ヤÇàìñツ,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,嬉闹		影子偷袭	攻击强化,24,64.86%,22
,,暗影爪	影子偷袭	万灵药,16,80.0%,17
,,暗影爪	戏法空间	万灵药,12,63.16%,10
,,嬉闹		影子偷袭	逃脱按键,11,64.71%,11
,,嬉闹		影子偷袭	万灵药,8,80.0%,7
,,暗影爪	影子偷袭	速度强化,2,50.0%,1
,,暗影爪	戏法空间	逃脱按键,1,50.0%,2
,,嬉闹		影子偷袭	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,40,71.43%,32
,,力量头带	弱点保险	锐利之爪,13,68.42%,8
,,充能坠饰	猛攻哑铃	锐利之爪,8,61.54%,7
,,弱点保险	猛攻哑铃	锐利之爪,4,66.67%,6
,,力量头带	弱点保险	猛攻哑铃,4,80.0%,3
,,气势头带	猛攻哑铃	锐利之爪,2,66.67%,2
,,咒术手镯	猛攻哑铃	锐利之爪,0,0.0%,2
,,弱点保险	焦点镜	猛攻哑铃,1,100.0%,1
,,力量头带	咒术手镯	锐利之爪,1,100.0%,1
,,充能坠饰	力量头带	锐利之爪,1,33.33%,1
,,猛攻哑铃	轻石	锐利之爪,0,0.0%,1
35,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,1.03%,71,66.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Liebert余市,14,82.35%
,,Izetta23,7,87.5%
,,一旦ひつGか,7,70.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	速度强化,39,73.58%,15
,,花粉团	棉孢子	速度强化,15,68.18%,13
,,花粉团	棉孢子	攻击强化,5,62.5%,4
,,花粉团	棉花防守	万灵药,4,57.14%,3
,,花粉团	棉花防守	逃脱按键,3,75.0%,4
,,花粉团	棉孢子	逃脱按键,3,50.0%,6
,,青草搅拌器	棉花防守	逃脱按键,1,100.0%,1
,,花粉团	棉孢子	万灵药,1,50.0%,2
,,花粉团	棉花防守	伤药	,0,0.0%,1
,,花粉团	棉孢子	向尾喵的尾巴,0,0.0%,1
,,花粉团	棉孢子	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	救援屏障,21,63.64%,8
,,学习装置	援助头巾	救援屏障,11,84.62%,5
,,力量头带	咒术熏香	学习装置,2,50.0%,4
,,咒术熏香	学习装置	救援屏障,2,50.0%,3
,,力量头带	学习装置	连打围巾,4,66.67%,2
,,博识眼镜	学习装置	救援屏障,4,66.67%,2
,,共鸣护盾	力量头带	学习装置,3,60.0%,2
,,共鸣护盾	学习装置	气势头带,2,100.0%,2
,,力量头带	学习装置	进击眼镜,1,50.0%,2
,,学习装置	救援屏障	进击眼镜,14,82.35%,1
,,力量头带	学习装置	讲究眼镜,2,100.0%,1
,,力量头带	博识眼镜	学习装置,1,100.0%,1
,,力量头带	博识眼镜	进击眼镜,1,100.0%,1
,,学习装置	援助头巾	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,博识眼镜	学习装置	援助头巾,1,50.0%,1
,,力量头带	学习装置	援助头巾,0,0.0%,1
,,博识眼镜	咒术熏香	进击眼镜,0,0.0%,1
,,共鸣护盾	学习装置	贝壳之铃,0,0.0%,1
,,学习装置	救援屏障	气势头带,0,0.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,0,0.0%,1
,,共鸣护盾	力量头带	连打围巾,0,0.0%,1
36,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,0.88%,64,69.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MyGo_EvonTV,7,77.78%
,,InvalidRed,3,100.0%
,,Sun*Flower,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,48,68.57%,41
,,水流连打	水流裂破	万灵药,15,75.0%,13
,,暗冥强击	深渊突刺	速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,25,65.79%,23
,,力量头带	弱点保险	锐利之爪,18,75.0%,12
,,弱点保险	猛攻哑铃	锐利之爪,4,80.0%,3
,,力量头带	弱点保险	猛攻哑铃,3,75.0%,3
,,力量头带	焦点镜	锐利之爪,7,70.0%,2
,,力量头带	能量增幅器	锐利之爪,4,80.0%,2
,,充能坠饰	力量头带	焦点镜,1,33.33%,2
,,咒术手镯	气势头带	连打围巾,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	猛攻哑铃	轻石,0,0.0%,1
36,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,28,0.88%,64,69.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SLightlYy藻,22,75.86%
,,§ZIAKAN§,16,80.0%
,,V0gue,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	精神冲击	逃脱按键,29,74.36%,11
,,月亮之力	预知未来	逃脱按键,21,72.41%,9
,,月亮之力	精神冲击	逃脱按键,11,64.71%,8
,,精神强念	精神冲击	速度强化,1,100.0%,1
,,精神强念	精神冲击	万灵药,1,100.0%,1
,,月亮之力	预知未来	速度强化,1,50.0%,1
,,月亮之力	精神冲击	速度强化,0,0.0%,1
,,精神强念	预知未来	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,12,66.67%,10
,,穿透汤匙	能量增幅器	讲究眼镜,17,65.38%,6
,,咒术熏香	穿透汤匙	讲究眼镜,26,76.47%,5
,,咒术熏香	穿透汤匙	能量增幅器,3,50.0%,3
,,博识眼镜	穿透汤匙	能量增幅器,2,100.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,2,66.67%,1
,,博识眼镜	讲究眼镜	贝壳之铃,2,66.67%,1
38,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,0.87%,57,62.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,G5・Yûtao爱,5,100.0%
,,ʜappy,5,71.43%
,,Mamoswine1x,5,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻牙	地震		逃脱按键,37,61.67%,26
,,冰冻牙	地震		速度强化,6,75.0%,3
,,冰柱坠击	十万马力	逃脱按键,5,83.33%,1
,,冰柱坠击	地震		速度强化,4,57.14%,1
,,冰冻牙	十万马力	逃脱按键,3,75.0%,4
,,冰柱坠击	十万马力	伤药	,2,40.0%,1
,,冰冻牙	十万马力	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,19,70.37%,11
,,学习装置	救援屏障	气势头带,23,71.88%,10
,,力量头带	学习装置	气势头带,2,50.0%,4
,,亿奥斯饼干	学习装置	气势头带,4,66.67%,1
,,共鸣护盾	力量头带	救援屏障,4,50.0%,1
,,学习装置	气势头带	轻石,2,50.0%,1
,,亿奥斯饼干	共鸣护盾	力量头带,2,40.0%,1
,,共鸣护盾	弱点保险	气势头带,1,50.0%,1
,,共鸣护盾	力量头带	学习装置,0,0.0%,1
,,学习装置	气势头带	连打围巾,0,0.0%,1
,,咒术手镯	气势头带	连打围巾,0,0.0%,1
39,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,0.84%,70,79.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,xLilykitty,37,74.0%
,,Natsuuッ,20,86.96%
,,PRX・Ht,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		速度强化,23,88.46%,4
,,种子机关枪	大快朵颐	迟缓烟雾,19,73.08%,1
,,种子机关枪	大快朵颐	逃脱按键,18,75.0%,1
,,打嗝		渴望		伤药	,4,80.0%,5
,,打嗝		渴望		逃脱按键,3,75.0%,1
,,打嗝		渴望		向尾喵的尾巴,1,100.0%,1
,,打嗝		大快朵颐	速度强化,1,100.0%,1
,,种子机关枪	大快朵颐	得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	气势头带	猛攻哑铃,22,88.0%,3
,,亿奥斯饼干	猛攻哑铃	轻石,3,100.0%,3
,,救援屏障	猛攻哑铃	轻石,37,74.0%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,3,75.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,得分护盾	猛攻哑铃	轻石,1,100.0%,1
,,学习装置	气势头带	轻石,1,100.0%,1
,,充能坠饰	学习装置	轻石,1,100.0%,1
,,共鸣护盾	救援屏障	气势头带,1,100.0%,1
,,学习装置	气势头带	猛攻哑铃,0,0.0%,1
40,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.78%,55,67.9%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Dmarfer,21,77.78%
,,Mаog,10,90.91%
,,ʚあゆぴてゃɞ,6,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,拍落		奇异之光	速度强化,41,70.69%,12
,,拍落		奇异之光	得分加速装置,11,84.62%,3
,,影子偷袭	奇异之光	速度强化,2,66.67%,3
,,拍落		奇异之光	逃脱按键,1,33.33%,2
,,拍落		出奇一击	速度强化,0,0.0%,2
,,影子偷袭	奇异之光	得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,吃剩的东西	学习装置	轻石,38,67.86%,12
,,充能坠饰	学习装置	轻石,3,75.0%,2
,,学习装置	猛攻哑铃	轻石,10,90.91%,1
,,力量头带	猛攻哑铃	轻石,1,100.0%,1
,,学习装置	气势头带	猛攻哑铃,1,100.0%,1
,,充能坠饰	猛攻哑铃	轻石,1,50.0%,1
,,吃剩的东西	猛攻哑铃	轻石,1,50.0%,1
,,吃剩的东西	得分护盾	轻石,0,0.0%,1
,,吃剩的东西	学习装置	得分护盾,0,0.0%,1
,,学习装置	得分护盾	轻石,0,0.0%,1
41,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,0.77%,60,75.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BC_Zeras,8,88.89%
,,RGE・N8MARE,8,88.89%
,,BoraReach,4,57.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,闪电猛冲	抛物面充电	万灵药,37,82.22%,20
,,充电光束	打雷		逃脱按键,17,68.0%,15
,,充电光束	抛物面充电	逃脱按键,2,100.0%,2
,,充电光束	打雷		速度强化,2,66.67%,2
,,充电光束	抛物面充电	万灵药,1,100.0%,1
,,闪电猛冲	抛物面充电	伤药	,1,50.0%,2
,,充电光束	抛物面充电	速度强化,0,0.0%,1
,,闪电猛冲	抛物面充电	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	进击眼镜,36,80.0%,16
,,博识眼镜	咒术熏香	穿透汤匙,6,75.0%,6
,,博识眼镜	穿透汤匙	讲究眼镜,5,83.33%,3
,,咒术熏香	学习装置	讲究眼镜,5,55.56%,2
,,博识眼镜	讲究眼镜	进击眼镜,1,50.0%,2
,,穿透汤匙	能量增幅器	进击眼镜,2,66.67%,1
,,博识眼镜	学习装置	穿透汤匙,1,100.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,100.0%,1
,,博识眼镜	贝壳之铃	进击眼镜,1,100.0%,1
,,亿奥斯饼干	博识眼镜	穿透汤匙,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
,,学习装置	穿透汤匙	进击眼镜,0,0.0%,1
,,博识眼镜	穿透汤匙	贝壳之铃,0,0.0%,1
42,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,0.76%,52,65.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N'shiro_,9,56.25%
,,一JaNiツ,4,80.0%
,,GaticoPe,4,57.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,21,56.76%,14
,,子弹拳	剑舞		万灵药,14,87.5%,9
,,双翼		二连击	万灵药,11,68.75%,9
,,子弹拳	剑舞		伤药	,4,66.67%,3
,,子弹拳	剑舞		逃脱按键,1,100.0%,1
,,双翼		二连击	速度强化,1,100.0%,1
,,子弹拳	二连击	伤药	,0,0.0%,1
,,子弹拳	剑舞		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,16,69.57%,9
,,力量头带	能量增幅器	锐利之爪,15,60.0%,8
,,猛攻哑铃	能量增幅器	锐利之爪,5,62.5%,3
,,力量头带	弱点保险	锐利之爪,2,66.67%,3
,,弱点保险	能量增幅器	锐利之爪,4,100.0%,2
,,力量头带	猛攻哑铃	锐利之爪,1,50.0%,2
,,气势头带	猛攻哑铃	锐利之爪,2,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,2,100.0%,1
,,弱点保险	猛攻哑铃	连打围巾,2,66.67%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,凸凸头盔	气势头带	猛攻哑铃,1,100.0%,1
,,弱点保险	轻石	锐利之爪,1,33.33%,1
,,力量头带	焦点镜	猛攻哑铃,0,0.0%,1
,,力量头带	弱点保险	能量增幅器,0,0.0%,1
43,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,0.75%,53,67.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CLANDESTINE.,5,71.43%
,,GE・Sadao,4,80.0%
,,竜舞ぱらてゃ,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		逃脱按键,34,65.38%,35
,,冰锥		冰砾		速度强化,11,64.71%,11
,,冰冻之风	冷冻干燥	逃脱按键,8,88.89%,8
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	咒术熏香	穿透汤匙,15,53.57%,20
,,博识眼镜	穿透汤匙	讲究眼镜,20,76.92%,14
,,博识眼镜	穿透汤匙	能量增幅器,3,75.0%,4
,,力量头带	博识眼镜	穿透汤匙,4,100.0%,3
,,咒术熏香	穿透汤匙	讲究眼镜,3,100.0%,3
,,力量头带	穿透汤匙	讲究眼镜,5,62.5%,2
,,博识眼镜	讲究眼镜	贝壳之铃,1,100.0%,1
,,焦点镜	穿透汤匙	贝壳之铃,1,100.0%,1
,,博识眼镜	焦点镜	穿透汤匙,1,100.0%,1
,,博识眼镜	讲究眼镜	连打围巾,0,0.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,0,0.0%,1
44,黏美龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.67%,52,74.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ivolyn,23,76.67%
,,SHADÕW,16,61.54%
,,TZ・Melha,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,浊流		酸液炸弹	伤药	,29,74.36%,3
,,龙之波动	酸液炸弹	伤药	,13,65.0%,3
,,浊流		酸液炸弹	速度强化,4,100.0%,4
,,浊流		强力鞭打	速度强化,4,80.0%,2
,,龙之波动	酸液炸弹	速度强化,1,100.0%,1
,,龙之波动	强力鞭打	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	气势头带	穿透汤匙,39,69.64%,2
,,共鸣护盾	气势头带	连打围巾,3,75.0%,1
,,共鸣护盾	讲究眼镜	贝壳之铃,1,100.0%,1
,,气势头带	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,凸凸头盔	气势头带	连打围巾,1,100.0%,1
,,亿奥斯饼干	救援屏障	气势头带,1,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,100.0%,1
,,共鸣护盾	咒术熏香	穿透汤匙,1,100.0%,1
,,共鸣护盾	学习装置	穿透汤匙,1,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,咒术熏香	学习装置	气势头带,1,100.0%,1
45,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.66%,50,72.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N'shiro_,17,77.27%
,,엽떡도둑냔냐,9,69.23%
,,*湯豆腐*,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,40,72.73%,17
,,龙之舞	破坏光线	逃脱按键,3,60.0%,5
,,龙之舞	逆鳞		万灵药,2,100.0%,2
,,龙之舞	破坏光线	得分加速装置,2,66.67%,1
,,龙之舞	破坏光线	攻击强化,1,100.0%,1
,,龙之舞	逆鳞		攻击强化,1,100.0%,1
,,神速		逆鳞		伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,27,77.14%,12
,,力量头带	气势头带	锐利之爪,1,25.0%,3
,,力量头带	得分护盾	锐利之爪,3,60.0%,2
,,力量头带	焦点镜	连打围巾,2,100.0%,2
,,力量头带	连打围巾	锐利之爪,2,100.0%,2
,,力量头带	得分护盾	气势头带,9,69.23%,1
,,力量头带	焦点镜	猛攻哑铃,2,66.67%,1
,,力量头带	弱点保险	焦点镜,1,100.0%,1
