,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,穿透汤匙	讲究眼镜	贝壳之铃,16,84.21%,2
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,2
,,博识眼镜	气势头带	穿透汤匙,9,81.82%,1
,,共鸣护盾	咒术熏香	穿透汤匙,8,80.0%,1
,,咒术熏香	救援屏障	穿透汤匙,3,75.0%,1
,,穿透汤匙	贝壳之铃	进击眼镜,1,100.0%,1
,,气势头带	穿透汤匙	进击眼镜,1,50.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,50.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,1,33.33%,1
,,气势头带	穿透汤匙	贝壳之铃,0,0.0%,1
,,咒术熏香	穿透汤匙	进击眼镜,0,0.0%,1
31,暴鲤龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,1.21%,102,74.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MythicHuBaby,63,68.48%
,,T@i3!!,17,77.27%
,,.Blade.z,6,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		弹跳		逃脱按键,83,73.45%,12
,,龙息		攀瀑		伤药	,17,77.27%,1
,,龙息		攀瀑		速度强化,1,100.0%,1
,,龙息		弹跳		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	锐利之爪,7,100.0%,3
,,焦点镜	猛攻哑铃	锐利之爪,2,66.67%,3
,,力量头带	猛攻哑铃	锐利之爪,7,100.0%,2
,,气势头带	猛攻哑铃	锐利之爪,2,100.0%,2
,,弱点保险	气势头带	能量增幅器,63,68.48%,1
,,凸凸头盔	气势头带	猛攻哑铃,17,77.27%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
32,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,1.2%,101,74.26%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ZETA_Rom,32,88.89%
,,kaíbutsu,18,85.71%
,,しぶやまさ,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	攻击强化,48,72.73%,28
,,预知未来	瞬间移动	攻击强化,44,75.86%,23
,,精神击破	瞬间移动	逃脱按键,5,100.0%,1
,,预知未来	自我再生	攻击强化,3,75.0%,4
,,精神击破	自我再生	攻击强化,1,50.0%,2
,,预知未来	瞬间移动	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	穿透汤匙	连打围巾,86,75.44%,29
,,博识眼镜	穿透汤匙	讲究眼镜,2,66.67%,3
,,力量头带	咒术熏香	连打围巾,3,75.0%,2
,,力量头带	穿透汤匙	讲究眼镜,2,100.0%,2
,,力量头带	学习装置	连打围巾,1,25.0%,2
,,力量头带	穿透汤匙	进击眼镜,4,100.0%,1
,,力量头带	博识眼镜	连打围巾,2,100.0%,1
,,力量头带	咒术熏香	讲究眼镜,1,100.0%,1
,,博识眼镜	穿透汤匙	连打围巾,0,0.0%,1
33,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,1.17%,100,75.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,підколючкова,25,80.65%
,,Hirono.,22,88.0%
,,Cosob,22,61.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	精神冲击	逃脱按键,31,83.78%,12
,,月亮之力	精神冲击	逃脱按键,28,80.0%,5
,,月亮之力	精神冲击	速度强化,15,51.72%,2
,,精神强念	精神冲击	速度强化,12,100.0%,3
,,月亮之力	预知未来	逃脱按键,6,75.0%,5
,,精神强念	预知未来	逃脱按键,4,66.67%,6
,,精神强念	预知未来	万灵药,1,100.0%,1
,,月亮之力	精神冲击	脱壳忍者玩偶,1,100.0%,1
,,精神强念	预知未来	速度强化,1,100.0%,1
,,月亮之力	预知未来	速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,36,76.6%,10
,,穿透汤匙	能量增幅器	讲究眼镜,30,65.22%,8
,,博识眼镜	穿透汤匙	能量增幅器,3,75.0%,2
,,博识眼镜	咒术熏香	讲究眼镜,2,100.0%,2
,,咒术熏香	穿透汤匙	讲究眼镜,2,100.0%,2
,,咒术熏香	穿透汤匙	能量增幅器,2,100.0%,2
,,咒术熏香	能量增幅器	讲究眼镜,2,66.67%,2
,,博识眼镜	咒术熏香	能量增幅器,22,88.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
34,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,1.07%,79,65.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ParuParuParu,12,85.71%
,,kaíbutsu,8,100.0%
,,_SEN.TenZ乡,6,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,73,66.36%,48
,,杂技		水流裂破	逃脱按键,5,62.5%,6
,,杂技		水流裂破	速度强化,1,100.0%,1
,,致命针刺	水流裂破	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,73,65.77%,48
,,咒术熏香	穿透汤匙	讲究眼镜,1,33.33%,2
,,博识眼镜	穿透汤匙	进击眼镜,3,75.0%,1
,,博识眼镜	焦点镜	穿透汤匙,2,66.67%,1
35,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,1.04%,86,72.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LFD・Beach,22,81.48%
,,ゾウリン,11,57.89%
,,KeIIyJT,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		瞬间失忆	逃脱按键,29,65.91%,10
,,冲浪		意念移物	逃脱按键,23,74.19%,12
,,热水		瞬间失忆	逃脱按键,14,87.5%,8
,,冲浪		意念移物	速度强化,7,100.0%,3
,,热水		意念移物	逃脱按键,7,63.64%,7
,,冲浪		意念移物	伤药	,4,80.0%,2
,,冲浪		瞬间失忆	速度强化,1,100.0%,1
,,冲浪		瞬间失忆	伤药	,1,50.0%,2
,,热水		意念移物	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,27,69.23%,14
,,咒术熏香	学习装置	气势头带,33,76.74%,10
,,亿奥斯饼干	学习装置	气势头带,12,85.71%,4
,,气势头带	讲究眼镜	进击眼镜,2,66.67%,3
,,共鸣护盾	学习装置	救援屏障,6,85.71%,1
,,博识眼镜	咒术熏香	穿透汤匙,3,60.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,共鸣护盾	咒术熏香	学习装置,1,100.0%,1
,,凸凸头盔	学习装置	气势头带,1,50.0%,1
,,气势头带	穿透汤匙	讲究眼镜,0,0.0%,1
,,学习装置	气势头带	穿透汤匙,0,0.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
35,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,1.04%,84,71.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,shinjidainoo,11,91.67%
,,ゾウリン,10,90.91%
,,NRL・Nephilá,9,90.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	哈欠		逃脱按键,34,82.93%,17
,,抓狂		挡路		速度强化,20,76.92%,9
,,重磅冲撞	挡路		速度强化,13,65.0%,14
,,重磅冲撞	哈欠		速度强化,8,72.73%,7
,,重磅冲撞	挡路		逃脱按键,6,46.15%,9
,,抓狂		哈欠		逃脱按键,1,100.0%,1
,,重磅冲撞	挡路		迟缓烟雾,1,100.0%,1
,,抓狂		哈欠		速度强化,1,50.0%,2
,,抓狂		挡路		万灵药,0,0.0%,1
,,抓狂		挡路		攻击强化,0,0.0%,1
,,重磅冲撞	挡路		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,26,83.87%,9
,,共鸣护盾	学习装置	气势头带,7,58.33%,8
,,学习装置	气势头带	轻石,6,42.86%,7
,,亿奥斯饼干	学习装置	气势头带,6,75.0%,6
,,亿奥斯饼干	力量头带	气势头带,10,76.92%,2
,,亿奥斯饼干	气势头带	连打围巾,2,66.67%,2
,,共鸣护盾	学习装置	救援屏障,2,66.67%,2
,,吃剩的东西	学习装置	气势头带,5,100.0%,1
,,力量头带	轻石	连打围巾,5,71.43%,1
,,亿奥斯饼干	焦点镜	连打围巾,4,66.67%,1
,,学习装置	救援屏障	轻石,3,100.0%,1
,,亿奥斯饼干	学习装置	得分护盾,2,66.67%,1
,,力量头带	气势头带	连打围巾,2,66.67%,1
,,亿奥斯饼干	学习装置	连打围巾,1,100.0%,1
,,焦点镜	猛攻哑铃	连打围巾,1,100.0%,1
,,共鸣护盾	吃剩的东西	学习装置,1,50.0%,1
,,力量头带	学习装置	焦点镜,1,50.0%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,0,0.0%,1
37,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,1.02%,81,69.83%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,"@_yuu"")",12,80.0%
,,ODEN・昆布,12,80.0%
,,LFD・Beach,10,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,39,62.9%,27
,,月光		看我嘛	速度强化,34,77.27%,13
,,月光		重力		迟缓烟雾,2,100.0%,1
,,月光		看我嘛	脱壳忍者玩偶,2,66.67%,1
,,吸取之吻	看我嘛	迟缓烟雾,1,100.0%,1
,,月光		看我嘛	逃脱按键,1,100.0%,1
,,吸取之吻	看我嘛	速度强化,1,100.0%,1
,,月光		看我嘛	万灵药,1,100.0%,1
,,吸取之吻	重力		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	进击眼镜,19,57.58%,11
,,学习装置	援助头巾	进击眼镜,22,78.57%,8
,,学习装置	救援屏障	进击眼镜,15,83.33%,5
,,博识眼镜	学习装置	援助头巾,12,70.59%,3
,,学习装置	援助头巾	救援屏障,5,83.33%,3
,,博识眼镜	学习装置	救援屏障,6,85.71%,1
,,能量增幅器	贝壳之铃	进击眼镜,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,25.0%,1
,,学习装置	援助头巾	气势头带,0,0.0%,1
,,共鸣护盾	学习装置	进击眼镜,0,0.0%,1
38,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,0.97%,81,73.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,4lbert_w,18,81.82%
,,blushT^T,15,68.18%
,,RúxenDenhard,8,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,燕返		勇鸟猛攻	逃脱按键,39,73.58%,10
,,蓄能焰袭	飞翔		逃脱按键,21,72.41%,11
,,燕返		飞翔		逃脱按键,9,75.0%,2
,,蓄能焰袭	勇鸟猛攻	逃脱按键,4,66.67%,1
,,燕返		勇鸟猛攻	攻击强化,2,100.0%,2
,,燕返		飞翔		攻击强化,2,66.67%,1
,,蓄能焰袭	飞翔		得分加速装置,2,66.67%,2
,,燕返		飞翔		伤药	,1,100.0%,1
,,燕返		勇鸟猛攻	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,49,71.01%,12
,,猛攻哑铃	轻石	锐利之爪,20,83.33%,9
,,充能坠饰	猛攻哑铃	轻石,6,75.0%,5
,,充能坠饰	轻石	锐利之爪,5,62.5%,2
,,气势头带	焦点镜	轻石,1,100.0%,1
39,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,0.96%,83,76.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TRメʀoɴɪ,15,78.95%
,,Redux-,14,73.68%
,,ソロサポ心美,12,70.59%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	速度强化,50,76.92%,18
,,潜灵奇袭	异次元洞	脱壳忍者玩偶,13,81.25%,1
,,潜灵奇袭	异次元洞	逃脱按键,9,64.29%,8
,,潜灵奇袭	戏法		速度强化,7,77.78%,3
,,暗影球	戏法		速度强化,2,100.0%,1
,,潜灵奇袭	异次元洞	万灵药,1,100.0%,1
,,暗影球	戏法		逃脱按键,1,100.0%,1
,,潜灵奇袭	异次元洞	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	气势头带,27,72.97%,7
,,共鸣护盾	力量头带	学习装置,7,70.0%,6
,,力量头带	咒术熏香	学习装置,6,85.71%,4
,,咒术熏香	学习装置	气势头带,2,66.67%,2
,,共鸣护盾	学习装置	能量增幅器,15,78.95%,1
,,共鸣护盾	咒术熏香	学习装置,12,70.59%,1
,,力量头带	学习装置	讲究眼镜,7,100.0%,1
,,咒术熏香	学习装置	轻石,2,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,力量头带	学习装置	援助头巾,1,100.0%,1
,,力量头带	学习装置	救援屏障,1,100.0%,1
,,力量头带	学习装置	轻石,1,100.0%,1
,,力量头带	救援屏障	气势头带,1,100.0%,1
,,学习装置	气势头带	讲究眼镜,0,0.0%,1
,,力量头带	吃剩的东西	学习装置,0,0.0%,1
40,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,0.95%,69,63.89%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʚ進撃のりゅɞ,13,86.67%
,,夢兎ぷく¿,11,78.57%
,,まなわはくと,7,63.64%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	佯攻		逃脱按键,25,65.79%,16
,,火焰踢	蓄能焰袭	逃脱按键,24,85.71%,12
,,火焰踢	佯攻		攻击强化,9,37.5%,5
,,火焰球	蓄能焰袭	逃脱按键,3,75.0%,3
,,火焰球	蓄能焰袭	攻击强化,3,60.0%,2
,,火焰球	佯攻		逃脱按键,3,60.0%,4
,,火焰球	佯攻		攻击强化,2,66.67%,2
,,火焰踢	蓄能焰袭	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,59,66.29%,26
,,力量头带	连打围巾	锐利之爪,1,25.0%,2
,,力量头带	猛攻哑铃	连打围巾,7,63.64%,1
,,力量头带	焦点镜	猛攻哑铃,1,100.0%,1
,,充能坠饰	力量头带	连打围巾,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
41,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,0.9%,82,80.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,키요카,14,70.0%
,,K2_L0ling,11,91.67%
,,ねぷ(^_^),5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	速度强化,36,80.0%,19
,,花粉团	棉花防守	万灵药,17,73.91%,4
,,花粉团	棉花防守	逃脱按键,13,86.67%,6
,,花粉团	棉孢子	速度强化,8,80.0%,7
,,花粉团	棉孢子	逃脱按键,3,100.0%,2
,,青草搅拌器	棉孢子	万灵药,2,100.0%,1
,,花粉团	棉孢子	攻击强化,2,66.67%,3
,,青草搅拌器	棉孢子	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	救援屏障,15,83.33%,9
,,学习装置	援助头巾	救援屏障,21,72.41%,6
,,共鸣护盾	力量头带	学习装置,13,92.86%,3
,,力量头带	咒术熏香	学习装置,5,100.0%,3
,,力量头带	学习装置	援助头巾,9,69.23%,2
,,力量头带	博识眼镜	学习装置,2,100.0%,2
,,博识眼镜	学习装置	援助头巾,2,66.67%,2
,,共鸣护盾	学习装置	气势头带,3,100.0%,1
,,共鸣护盾	学习装置	救援屏障,2,100.0%,1
,,力量头带	穿透汤匙	进击眼镜,2,100.0%,1
,,力量头带	讲究眼镜	进击眼镜,2,100.0%,1
,,博识眼镜	学习装置	救援屏障,1,100.0%,1
,,力量头带	进击眼镜	连打围巾,1,100.0%,1
,,共鸣护盾	博识眼镜	学习装置,1,100.0%,1
,,共鸣护盾	学习装置	援助头巾,1,100.0%,1
,,力量头带	救援屏障	气势头带,1,100.0%,1
,,力量头带	学习装置	进击眼镜,1,50.0%,1
,,博识眼镜	学习装置	进击眼镜,0,0.0%,1
,,共鸣护盾	博识眼镜	连打围巾,0,0.0%,1
42,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,36,0.89%,72,71.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Razzak.,21,87.5%
,,1v1・Antique,7,87.5%
,,GHardscore,6,54.55%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		万灵药,33,82.5%,10
,,伏特替换	放电		攻击强化,9,69.23%,4
,,电光		放电		攻击强化,8,72.73%,6
,,电光		疯狂伏特	逃脱按键,6,54.55%,1
,,电光		放电		万灵药,5,62.5%,7
,,电光		疯狂伏特	攻击强化,4,80.0%,5
,,电光		疯狂伏特	万灵药,4,57.14%,5
,,电光		放电		伤药	,1,100.0%,1
,,伏特替换	疯狂伏特	万灵药,1,100.0%,1
,,电光		疯狂伏特	速度强化,1,100.0%,1
,,伏特替换	疯狂伏特	速度强化,0,0.0%,1
,,伏特替换	疯狂伏特	逃脱按键,0,0.0%,1
,,伏特替换	放电		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	锐利之爪,9,50.0%,12
,,力量头带	弱点保险	气势头带,9,69.23%,7
,,气势头带	猛攻哑铃	锐利之爪,8,72.73%,3
,,气势头带	轻石	锐利之爪,7,53.85%,2
,,弱点保险	猛攻哑铃	锐利之爪,3,100.0%,2
,,弱点保险	能量增幅器	锐利之爪,1,50.0%,2
,,力量头带	轻石	锐利之爪,21,87.5%,1
,,充能坠饰	猛攻哑铃	锐利之爪,5,100.0%,1
,,充能坠饰	弱点保险	气势头带,3,100.0%,1
,,力量头带	猛攻哑铃	能量增幅器,3,60.0%,1
,,学习装置	弱点保险	气势头带,1,100.0%,1
,,力量头带	弱点保险	锐利之爪,1,100.0%,1
,,气势头带	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	焦点镜	能量增幅器,0,0.0%,1
42,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,0.89%,77,76.24%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IPpo,53,75.71%
,,"M.D.LUFFY,..",5,83.33%
,,Todorôki,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	水流尾	速度强化,64,75.29%,11
,,嬉闹		潮旋		速度强化,8,80.0%,3
,,嬉闹		潮旋		攻击强化,3,100.0%,3
,,水之波动	水流尾	逃脱按键,1,100.0%,1
,,水之波动	水流尾	攻击强化,1,100.0%,1
,,水之波动	水流尾	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	焦点镜	猛攻哑铃,59,76.62%,8
,,力量头带	焦点镜	猛攻哑铃,4,100.0%,2
,,焦点镜	猛攻哑铃	能量增幅器,2,50.0%,2
,,弱点保险	气势头带	焦点镜,5,83.33%,1
,,弱点保险	猛攻哑铃	轻石,2,66.67%,1
,,治愈王冠	焦点镜	猛攻哑铃,1,100.0%,1
,,力量头带	弱点保险	焦点镜,1,100.0%,1
,,充能坠饰	焦点镜	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,33.33%,1
44,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,41,0.83%,70,74.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,kaiji,7,87.5%
,,Sidharth¿?,6,100.0%
,,BRUpoohphaza,6,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,37,77.08%,19
,,污泥炸弹	日光束	逃脱按键,12,60.0%,14
,,污泥炸弹	日光束	速度强化,11,84.62%,3
,,终极吸取	日光束	逃脱按键,7,100.0%,6
,,污泥炸弹	花瓣舞	逃脱按键,1,100.0%,1
,,污泥炸弹	日光束	万灵药,1,100.0%,1
,,终极吸取	花瓣舞	逃脱按键,1,50.0%,1
,,终极吸取	花瓣舞	伤药	,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,14,82.35%,8
,,力量头带	气势头带	穿透汤匙,4,66.67%,5
,,博识眼镜	穿透汤匙	能量增幅器,6,66.67%,4
,,力量头带	穿透汤匙	连打围巾,8,72.73%,3
,,力量头带	气势头带	连打围巾,8,72.73%,3
,,气势头带	穿透汤匙	连打围巾,2,100.0%,2
,,博识眼镜	穿透汤匙	讲究眼镜,2,100.0%,2
,,咒术熏香	气势头带	贝壳之铃,6,100.0%,1
,,力量头带	气势头带	能量增幅器,6,85.71%,1
,,气势头带	能量增幅器	贝壳之铃,3,100.0%,1
,,充能坠饰	博识眼镜	讲究眼镜,3,75.0%,1
,,凸凸头盔	气势头带	连打围巾,3,60.0%,1
,,咒术熏香	救援屏障	气势头带,1,100.0%,1
,,气势头带	穿透汤匙	贝壳之铃,1,100.0%,1
,,力量头带	穿透汤匙	能量增幅器,1,100.0%,1
,,博识眼镜	能量增幅器	贝壳之铃,1,100.0%,1
,,气势头带	能量增幅器	连打围巾,1,33.33%,1
,,亿奥斯饼干	力量头带	气势头带,0,0.0%,1
,,气势头带	能量增幅器	讲究眼镜,0,0.0%,1
,,共鸣护盾	力量头带	气势头带,0,0.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,0,0.0%,1
45,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,0.82%,69,74.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ost.,16,84.21%
,,GX2,5,71.43%
,,MelodyyNopro,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,十字劈	深渊翻滚	逃脱按键,34,85.0%,24
,,十字劈	深渊翻滚	速度强化,18,78.26%,4
,,近身战	爆裂拳	逃脱按键,7,58.33%,7
,,近身战	爆裂拳	攻击强化,3,75.0%,2
,,近身战	深渊翻滚	逃脱按键,3,60.0%,4
,,十字劈	爆裂拳	逃脱按键,2,66.67%,3
,,近身战	爆裂拳	速度强化,2,66.67%,1
,,近身战	深渊翻滚	攻击强化,0,0.0%,1
,,十字劈	爆裂拳	攻击强化,0,0.0%,1
,,近身战	爆裂拳	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,11,84.62%,9
,,猛攻哑铃	轻石	锐利之爪,20,80.0%,4
,,气势头带	猛攻哑铃	锐利之爪,7,87.5%,4
,,弱点保险	猛攻哑铃	锐利之爪,2,66.67%,3
,,力量头带	猛攻哑铃	轻石,2,50.0%,3
,,猛攻哑铃	能量增幅器	锐利之爪,2,40.0%,3
,,气势头带	焦点镜	猛攻哑铃,4,80.0%,2
,,充能坠饰	猛攻哑铃	锐利之爪,2,66.67%,2
,,弱点保险	猛攻哑铃	能量增幅器,5,71.43%,1
,,亿奥斯饼干	力量头带	焦点镜,3,75.0%,1
,,充能坠饰	学习装置	轻石,2,100.0%,1
,,学习装置	气势头带	轻石,2,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,2,100.0%,1
,,弱点保险	猛攻哑铃	轻石,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,气势头带	猛攻哑铃	连打围巾,1,100.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,50.0%,1
,,充能坠饰	猛攻哑铃	能量增幅器,1,33.33%,1
,,学习装置	轻石	锐利之爪,0,0.0%,1
,,学习装置	猛攻哑铃	轻石,0,0.0%,1
46,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,36,0.8%,66,72.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,大かとう,21,100.0%
,,y1nyaoisi,10,90.91%
,,ParuParuParu,6,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	极光幕	逃脱按键,22,84.62%,9
,,魔法闪耀	极光幕	攻击强化,20,100.0%,1
,,雪崩		暴风雪	逃脱按键,19,54.29%,22
,,雪崩		极光幕	逃脱按键,3,60.0%,4
,,魔法闪耀	暴风雪	攻击强化,1,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,1,50.0%,1
,,雪崩		暴风雪	速度强化,0,0.0%,1
,,雪崩		极光幕	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,41,87.23%,8
,,博识眼镜	穿透汤匙	讲究眼镜,3,37.5%,6
,,咒术熏香	穿透汤匙	讲究眼镜,6,66.67%,3
,,力量头带	穿透汤匙	连打围巾,2,66.67%,3
,,博识眼镜	穿透汤匙	能量增幅器,3,100.0%,2
,,博识眼镜	能量增幅器	讲究眼镜,3,75.0%,2
,,穿透汤匙	能量增幅器	讲究眼镜,0,0.0%,2
,,咒术熏香	救援屏障	穿透汤匙,3,100.0%,1
,,咒术熏香	穿透汤匙	连打围巾,1,100.0%,1
,,共鸣护盾	力量头带	连打围巾,1,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
